Site ,Region,Plot#,Lichen,Moss,Road/Trail,Rock,Mineral_Soil,Wood,Litter/Duff,LitterDepth_NWcorner(cm),LitterDepth_SEcorner(cm)
TNCO_ESDB2,NH,281,0,0,0,0,0,0,8,3.5,5.5
TNCO_ESDB2,NH,283,0,0,0,0,0,0,8,10.0,7.5
TNCO_ESDB2,NH,285,1,0,0,0,0,0,8,3.0,6.0
TNCO_ESDB2,NH,287,1,2,0,0,0,2,8,4.0,3.5
TNCO_ESDB2,NH,289,0,0,0,0,0,1,8,2.5,2.5
TNCO_ESDB2,NH,291,0,2,0,0,1,0,8,2.0,3.5
TNCO_ESDB2,NH,293,0,0,0,0,0,0,8,4.5,4.5
TNCO_ESDB2,NH,295,1,2,0,0,1,2,8,1.5,3.5
TNCO_ESDB2,NH,297,0,0,0,0,0,0,8,4.0,7.0
TNCO_ESDB2,NH,299,2,0,0,0,0,1,8,3.0,2.5
TNCO_ESDB2,NH,301,0,0,0,0,0,2,8,3.5,3.0
TNCO_ESDB2,NH,303,1,1,0,0,0,0,8,4.5,4.0
TNCO_WB1,NH,236,0,2,0,0,0,0,8,2.0,2.0
TNCO_WB1,NH,238,0,0,0,0,0,1,8,3.0,5.0
TNCO_WB1,NH,240,1,1,0,0,0,0,8,4.0,2.5
TNCO_WB1,NH,242,0,0,0,0,0,0,8,4.5,4.0
TNCO_WB1,NH,244,0,0,0,0,0,0,8,3.5,3.5
TNCO_WB1,NH,246,0,0,0,0,0,1,8,4.0,4.5
TNCO_WB1,NH,248,0,0,0,0,0,2,8,7.0,4.5
TNCO_WB1,NH,250,0,0,0,0,1,4,8,4.5,4.0
TNCO_WB1,NH,252,0,1,0,0,0,1,8,4.5,3.0
TNCO_WB1,NH,254,0,0,0,0,0,1,8,2.5,3.5
TNCO_WB1,NH,256,0,0,0,0,0,0,8,1.0,0.5
TNCO_ESDB1,NH,957,2,2,0,0,2,0,8,0.5,3.0
TNCO_ESDB1,NH,955,0,0,0,0,0,0,8,3.0,5.0
TNCO_ESDB1,NH,953,0,0,0,0,0,4,8,7.0,5.5
TNCO_ESDB1,NH,951,0,0,0,0,0,0,8,4.5,4.5
TNCO_ESDB1,NH,949,1,0,0,0,0,0,8,2.0,3.0
TNCO_ESDB1,NH,947,0,0,0,1,0,1,8,3.5,5.0
TNCO_ESDB1,NH,945,0,0,0,0,0,0,8,1.0,5.0
TNCO_ESDB1,NH,943,0,0,0,0,0,0,8,2.0,3.5
TNCO_ESDB1,NH,941,0,0,0,0,0,3,7,3.5,3.5
TNCO_ESDB1,NH,939,0,0,0,0,0,0,8,2.0,3.0
TNCO_ESDB1,NH,937,0,1,0,0,0,0,8,2.0,1.0
