Site ,Region,Plot_No,Lichen,Moss,Road_Trail,Rock,Mineral_Soil,Wood,Litter_Duff,LitterDepth1_cm,LitterDepth2_cm
APB_Chubb_W,ALB,727,0,0,0,0,0,2,8,1,2
APB_Chubb_W,ALB,725,1,0,0,0,0,3,8,2.5,1.5
APB_Chubb_W,ALB,723,0,2,0,0,0,0,8,0,4.5
APB_Chubb_W,ALB,721,0,0,0,0,5,2,7,0.5,1
APB_Chubb_W,ALB,719,2,0,0,0,0,2,8,1,3
APB_Chubb_W,ALB,717,0,0,0,0,0,0,8,2.5,1
APB_Chubb_W,ALB,715,0,1,0,0,5,1,7,0.5,0
APB_Chubb_W,ALB,713,0,0,0,0,0,2,8,4.5,2.5
APB_Chubb_W,ALB,711,0,1,0,0,2,2,8,0.5,0
APB_Chubb_W,ALB,709,1,1,0,0,0,2,8,0.5,1
APB_Chubb_W,ALB,707,0,1,0,0,1,2,8,2.5,0.5
APB_Dandy,ALB,842,0,1,0,0,1,0,8,2,2.5
APB_Dandy,ALB,840,0,0,0,0,1,2,8,3.5,4.5
APB_Dandy,ALB,838,0,0,0,0,0,0,8,2,4
APB_Dandy,ALB,836,0,0,0,0,0,0,8,2,4
APB_Dandy,ALB,834,0,1,0,0,2,0,8,2.5,2
APB_Dandy,ALB,832,0,0,0,0,0,0,8,4,3
APB_Dandy,ALB,830,0,0,0,0,0,0,8,0.5,2.5
APB_Dandy,ALB,828,0,0,0,0,1,1,8,0.5,1
APB_Dandy,ALB,826,0,1,0,0,0,0,8,1,2.5
APB_Dandy,ALB,824,0,1,0,0,0,2,8,3,2.5
APB_Dandy,ALB,822,0,0,0,0,1,0,8,0.5,0.5
APB_Dandy,ALB,820,1,2,0,0,2,2,8,0.5,3
APB_Chubb_E,ALB,888,0,0,0,0,0,2,8,3,3
APB_Chubb_E,ALB,886,0,2,0,0,0,0,8,2.5,2.5
APB_Chubb_E,ALB,884,0,0,0,0,0,4,8,5.5,4
APB_Chubb_E,ALB,882,0,0,0,0,0,0,8,1.5,1.5
APB_Chubb_E,ALB,880,0,0,0,0,0,0,8,4,3
APB_Chubb_E,ALB,878,0,0,0,0,0,3,8,2.5,2.5
APB_Chubb_E,ALB,876,0,0,0,0,0,2,8,3.5,5.5
APB_Chubb_E,ALB,874,0,2,0,0,0,1,8,5,1
APB_Chubb_E,ALB,872,0,0,0,0,0,0,8,2.5,3
APB_Chubb_E,ALB,870,0,0,0,0,0,3,8,1.5,6.5
APB_Chubb_E,ALB,868,0,1,0,0,0,2,8,5,5
TNCO_ESDB2,NH,281,0,0,0,0,0,0,8,3.5,5.5
TNCO_ESDB2,NH,283,0,0,0,0,0,0,8,10,7.5
TNCO_ESDB2,NH,285,1,0,0,0,0,0,8,3,6
TNCO_ESDB2,NH,287,1,2,0,0,0,2,8,4,3.5
TNCO_ESDB2,NH,289,0,0,0,0,0,1,8,2.5,2.5
TNCO_ESDB2,NH,291,0,2,0,0,1,0,8,2,3.5
TNCO_ESDB2,NH,293,0,0,0,0,0,0,8,4.5,4.5
TNCO_ESDB2,NH,295,1,2,0,0,1,2,8,1.5,3.5
TNCO_ESDB2,NH,297,0,0,0,0,0,0,8,4,7
TNCO_ESDB2,NH,299,2,0,0,0,0,1,8,3,2.5
