Site ,Region,Plot#,Lichen,Moss,Road/Trail,Rock,Mineral_Soil,Wood,Litter/Duff,LitterDepth_NWcorner(cm),LitterDepth_SEcorner(cm)
SHCP_1,LI,214,0,0,0,0,0,3,8,5.5,8.5
SHCP_1,LI,216,0,0,0,0,0,1,8,8.0,5.0
SHCP_1,LI,218,0,1,0,0,0,1,8,2.5,6.0
SHCP_1,LI,220,0,1,0,0,0,3,8,15.0,> 15.0
SHCP_1,LI,222,0,2,0,0,0,4,8,6.0,6.5
SHCP_1,LI,224,0,3,0,0,0,1,8,> 15.0,15.0
SHCP_1,LI,226,0,0,0,0,0,3,8,10.0,11.5
SHCP_1,LI,228,1,1,0,0,0,2,8,4.0,5.0
SHCP_1,LI,230,0,1,0,0,0,1,8,8.0,7.5
SHCP_1,LI,232,1,2,0,0,0,3,8,> 15.0,> 15.0
SHCP_1,LI,234,0,2,0,0,0,3,8,13.0,> 15.0
WNWR_BT,LI,45,0,0,0,0,0,1,8,2.5,4.5
WNWR_BT,LI,47,0,0,0,0,0,4,8,5.0,2.5
WNWR_BT,LI,49,0,0,0,0,0,3,8,1.0,4.0
WNWR_BT,LI,51,0,4,0,0,0,2,8,6.5,4.5
WNWR_BT,LI,53,0,0,0,0,2,2,8,1.0,0.5
WNWR_BT,LI,55,0,0,0,0,0,2,8,4.5,5.0
WNWR_BT,LI,57,0,1,0,0,1,4,7,1.5,0.5
WNWR_BT,LI,59,0,0,0,0,1,3,8,0.5,9.0
WNWR_BT,LI,61,1,2,0,0,0,2,8,2.5,2.5
WNWR_BT,LI,63,0,1,0,0,2,3,8,2.5,4.5
WNWR_BT,LI,65,0,1,0,0,1,1,8,0.5,0.0
WNWR_BT,LI,67,0,5,0,0,1,2,6,0.0,2.0
WNWR_BT,LI,69,0,2,0,0,0,2,8,6.0,6.5
HCP_GI,LI,305,0,0,0,0,0,3,8,11.5,13.0
HCP_GI,LI,307,0,0,0,0,0,5,7,3.0,3.0
HCP_GI,LI,309,0,0,0,0,0,4,8,7.5,8.0
HCP_GI,LI,311,0,0,0,0,0,2,8,6.5,8.0
HCP_GI,LI,313,0,0,0,0,0,2,8,7.5,9.5
HCP_GI,LI,315,0,0,0,0,0,1,8,6.5,7.5
HCP_GI,LI,317,0,0,0,0,0,2,8,14.0,13.0
HCP_GI,LI,319,0,0,0,0,0,0,8,8.5,8.5
HCP_GI,LI,321,0,0,0,0,0,1,8,8.0,6.5
HCP_GI,LI,323,0,0,0,0,0,1,8,9.0,11.5
HCP_GI,LI,325,0,0,0,0,0,2,8,8.0,9.0
HCP_GI,LI,327,0,0,0,0,0,5,7,9.0,6.5
