Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
RPD2_B8,LI,142,QUCO,Quercus coccinea,1,0,0
RPD2_B8,LI,143,QUAL,Quercus alba,6,0,0
RPD2_B8,LI,143,QUIL,Quercus ilicifolia,2,0,0
RPD2_B8,LI,143,QUVE,Quercus velutina,1,0,0
RPD2_B8,LI,144,QUVE,Quercus velutina,6,0,0
RPD2_B8,LI,144,QUCO,Quercus coccinea,3,0,0
RPD2_B8,LI,144,QUAL,Quercus alba,3,0,0
RPD2_B8,LI,145,NA,No species found,0,0,0
RPD2_B8,LI,146,NA,No species found,0,0,0
RPD2_B8,LI,147,QUVE,Quercus velutina,3,0,0
RPD2_B8,LI,148,QUVE,Quercus velutina,1,0,0
RPD2_B8,LI,148,QUIL,Quercus ilicifolia,3,0,0
RPD2_B8,LI,149,QUVE,Quercus velutina,4,0,0
RPD2_B8,LI,149,QUAL,Quercus alba,3,0,0
RPD2_B8,LI,150,QUVE,Quercus velutina,2,0,0
RPD2_B8,LI,150,QUVE,Quercus velutina,2,0,0
RPD2_B8,LI,151,QUAL,Quercus alba,1,0,0
RPD2_B8,LI,151,QUVE,Quercus velutina,1,0,0
RPD2_B8,LI,152,QUCO,Quercus coccinea,1,0,0
RPD2_B8,LI,153,NA,No species found,0,0,0
RPD2_B8,LI,154,QUCO,Quercus coccinea,2,0,0
RPD2_B8,LI,154,QUAL,Quercus alba,2,0,0
RPD2_B8,LI,154,QUIL,Quercus ilicifolia,1,0,0
RPD2_B8,LI,155,QUAL,Quercus alba,4,0,0
RPD2_B8,LI,155,QUCO,Quercus coccinea,2,0,0
RPD2_B8,LI,155,QUIL,Quercus ilicifolia,1,0,0
RPD2_B8,LI,155,QUVE,Quercus velutina,1,0,0
RPD2_B8,LI,156,QUAL,Quercus alba,1,0,0
RPD2_B8,LI,157,QUVE,Quercus velutina,9,0,0
RPD2_B8,LI,157,QUIL,Quercus ilicifolia,23,0,0
RPD2_B8,LI,157,QUCO,Quercus coccinea,1,0,0
RPD2_B8,LI,158,QUCO,Quercus coccinea,2,0,0
RPD2_B8,LI,158,QUAL,Quercus alba,2,0,0
RPD2_B8,LI,158,QUIL,Quercus ilicifolia,3,0,0
RPD2_B8,LI,158,QUVE,Quercus velutina,1,0,0
RPD2_B8,LI,159,QUIL,Quercus ilicifolia,13,0,0
RPD2_B8,LI,159,QUVE,Quercus velutina,6,0,0
RPD2_B8,LI,159,QUCO,Quercus coccinea,1,0,0
RPD2_B7,LI,124,NA,No species found,0,0,0
RPD2_B7,LI,125,QUVE,Quercus velutina,2,0,0
RPD2_B7,LI,125,QUAL,Quercus alba,1,0,0
RPD2_B7,LI,126,NA,No species found,0,0,0
RPD2_B7,LI,127,QUCO,Quercus coccinea,1,0,0
RPD2_B7,LI,128,NA,No species found,0,0,0
RPD2_B7,LI,129,QUCO,Quercus coccinea,2,0,0
RPD2_B7,LI,130,QUVE,Quercus velutina,2,0,0
RPD2_B7,LI,130,QUCO,Quercus coccinea,2,0,0
RPD2_B7,LI,131,QUVE,Quercus velutina,2,0,0
RPD2_B7,LI,132,NA,No species found,0,0,0
RPD2_B7,LI,133,QUCO,Quercus coccinea,3,0,0
RPD2_B7,LI,134,NA,No species found,0,0,0
RPD2_B7,LI,135,NA,No species found,0,0,0
RPD2_B7,LI,136,NA,No species found,0,0,0
RPD2_B7,LI,137,NA,No species found,0,0,0
RPD2_B7,LI,138,NA,No species found,0,0,0
RPD2_B7,LI,139,NA,No species found,0,0,0
RPD2_B7,LI,140,NA,No species found,0,0,0
RPD2_B7,LI,141,NA,No species found,0,0,0
RPD2_B3,LI,88,QUIL,Quercus ilicifolia,1,0,0
RPD2_B3,LI,88,QUCO,Quercus coccinea,1,0,0
RPD2_B3,LI,89,NA,No species found,0,0,0
RPD2_B3,LI,90,QUAL,Quercus alba,1,0,0
RPD2_B3,LI,90,QUCO,Quercus coccinea,1,0,0
RPD2_B3,LI,91,QUIL,Quercus ilicifolia,5,0,0
RPD2_B3,LI,91,QUAL,Quercus alba,1,0,0
RPD2_B3,LI,92,QUAL,Quercus alba,1,0,0
RPD2_B3,LI,92,QUIL,Quercus ilicifolia,5,0,0
RPD2_B3,LI,93,QUIL,Quercus ilicifolia,10,0,0
RPD2_B3,LI,93,QUCO,Quercus coccinea,1,0,0
RPD2_B3,LI,94,NA,No species found,0,0,0
RPD2_B3,LI,95,QUIL,Quercus ilicifolia,8,0,0
RPD2_B3,LI,96,NA,No species found,0,0,0
RPD2_B3,LI,97,QUCO,Quercus coccinea,1,0,0
RPD2_B3,LI,97,QUVE,Quercus velutina,1,0,0
RPD2_B3,LI,98,QUIL,Quercus ilicifolia,3,0,0
RPD2_B3,LI,99,QUAL,Quercus alba,1,0,0
RPD2_B3,LI,100,QUAL,Quercus alba,1,0,0
RPD2_B3,LI,101,QUAL,Quercus alba,2,0,0
RPD2_B3,LI,101,PRSE,Prunus serotina,1,0,0
RPD2_B3,LI,102,QUAL,Quercus alba,2,0,0
RPD2_B3,LI,102,QUIL,Quercus ilicifolia,9,0,0
RPD2_B3,LI,103,QUVE,Quercus velutina,1,0,0
RPD2_B3,LI,104,NA,No species found,0,0,0
RPD2_B3,LI,105,QUVE,Quercus velutina,1,0,0
APB_Hippo,ALB,661,QUPR,Quercus prinoides,1,0,0
APB_Hippo,ALB,661,PRSE,Prunus serotina,1,0,0
APB_Hippo,ALB,660,QUPR,Quercus prinoides,1,0,0
APB_Hippo,ALB,659,PRSE,Prunus serotina,3,0,0
APB_Hippo,ALB,659,FRAL,Frangula alnus,1,0,0
APB_Hippo,ALB,658,NA,No species found,0,0,0
APB_Hippo,ALB,657,QUIL,Quercus ilicifolia,4,0,0
APB_Hippo,ALB,656,PRSE,Prunus serotina,5,0,0
APB_Hippo,ALB,656,PODE,Populus deltoides,20,0,0
APB_Hippo,ALB,655,FRPE,Fraxinus pennsylvanica,1,0,0
APB_Hippo,ALB,654,QUPR,Quercus prinoides,9,0,0
APB_Hippo,ALB,654,QUIL,Quercus ilicifolia,3,0,0
APB_Hippo,ALB,654,PRVI,Prunus virginiana,7,0,0
APB_Hippo,ALB,654,PODE,Populus deltoides,1,0,0
APB_Hippo,ALB,653,BEPO,Betula populifolia,13,0,13
