Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
APB_Chubb_W,ALB,728,QUCO,Quercus coccinea,3,0,0
APB_Chubb_W,ALB,728,QUIL,Quercus ilicifolia,33,0,0
APB_Chubb_W,ALB,727,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,727,QUIL,Quercus ilicifolia,42,0,0
APB_Chubb_W,ALB,726,QUIL,Quercus ilicifolia,43,0,0
APB_Chubb_W,ALB,726,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,725,QUIL,Quercus ilicifolia,7,0,0
APB_Chubb_W,ALB,725,BELE,Betula lenta,3,0,0
APB_Chubb_W,ALB,725,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,724,BEPO,Betula populifolia,1,0,0
APB_Chubb_W,ALB,724,QUIL,Quercus ilicifolia,44,0,0
APB_Chubb_W,ALB,723,QUIL,Quercus ilicifolia,7,0,0
APB_Chubb_W,ALB,723,QUVE,Quercus velutina,7,0,7
APB_Chubb_W,ALB,723,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,723,BELE,Betula lenta,1,0,0
APB_Chubb_W,ALB,722,BELE,Betula lenta,6,0,0
APB_Chubb_W,ALB,722,QUIL,Quercus ilicifolia,5,0,0
APB_Chubb_W,ALB,722,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,721,QUIL,Quercus ilicifolia,10,0,0
APB_Chubb_W,ALB,720,ROPS,Robinia pseudoacacia,1,0,0
APB_Chubb_W,ALB,720,QUIL,Quercus ilicifolia,32,0,0
APB_Chubb_W,ALB,720,QUCO,Quercus coccinea,4,0,4
APB_Chubb_W,ALB,719,BELE,Betula lenta,10,0,3
APB_Chubb_W,ALB,719,QUIL,Quercus ilicifolia,18,0,6
APB_Chubb_W,ALB,719,ACRU,Acer rubrum,2,0,0
APB_Chubb_W,ALB,719,QURU,Quercus rubra,1,0,0
APB_Chubb_W,ALB,718,QUIL,Quercus ilicifolia,49,0,0
APB_Chubb_W,ALB,718,QUCO,Quercus coccinea,4,0,4
APB_Chubb_W,ALB,717,QUIL,Quercus ilicifolia,59,0,0
APB_Chubb_W,ALB,716,BELE,Betula lenta,16,0,6
APB_Chubb_W,ALB,716,QUCO,Quercus coccinea,4,0,0
APB_Chubb_W,ALB,716,QUVE,Quercus velutina,2,0,0
APB_Chubb_W,ALB,716,ROPS,Robinia pseudoacacia,1,0,0
APB_Chubb_W,ALB,716,QUIL,Quercus ilicifolia,3,0,0
APB_Chubb_W,ALB,716,ACRU,Acer rubrum,4,1,0
APB_Chubb_W,ALB,716,BEPO,Betula populifolia,7,0,7
APB_Chubb_W,ALB,716,BENI,Betula nigra,1,0,0
APB_Chubb_W,ALB,716,PODE,Populus deltoides,1,0,0
APB_Chubb_W,ALB,715,PRVI,Prunus virginiana,2,0,0
APB_Chubb_W,ALB,715,BELE,Betula lenta,9,0,2
APB_Chubb_W,ALB,715,QUAL,Quercus alba,1,0,1
APB_Chubb_W,ALB,715,QUCO,Quercus coccinea,1,0,0
APB_Chubb_W,ALB,714,QUIL,Quercus ilicifolia,39,0,0
APB_Chubb_W,ALB,713,QUIL,Quercus ilicifolia,29,0,0
APB_Chubb_W,ALB,712,QUIL,Quercus ilicifolia,26,0,0
APB_Chubb_W,ALB,711,QUCO,Quercus coccinea,2,0,2
APB_Chubb_W,ALB,711,QUIL,Quercus ilicifolia,30,0,0
APB_Chubb_W,ALB,710,QUIL,Quercus ilicifolia,34,0,0
APB_Chubb_W,ALB,709,BELE,Betula lenta,1,0,1
APB_Chubb_W,ALB,709,QUIL,Quercus ilicifolia,7,0,0
APB_Chubb_W,ALB,708,BELE,Betula lenta,22,0,22
APB_Chubb_W,ALB,707,BELE,Betula lenta,4,0,4
