Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
SHCP_1,LI,214,NA,No species found,0,0,0
SHCP_1,LI,215,NA,No species found,0,0,0
SHCP_1,LI,216,NA,No species found,0,0,0
SHCP_1,LI,217,NA,No species found,0,0,0
SHCP_1,LI,218,NA,No species found,0,0,0
SHCP_1,LI,219,NA,No species found,0,0,0
SHCP_1,LI,220,NA,No species found,0,0,0
SHCP_1,LI,221,NA,No species found,0,0,0
SHCP_1,LI,222,NA,No species found,0,0,0
SHCP_1,LI,223,NA,No species found,0,0,0
SHCP_1,LI,224,NA,No species found,0,0,0
SHCP_1,LI,225,NA,No species found,0,0,0
SHCP_1,LI,226,NA,No species found,0,0,0
SHCP_1,LI,227,NA,No species found,0,0,0
SHCP_1,LI,228,NA,No species found,0,0,0
SHCP_1,LI,229,NA,No species found,0,0,0
SHCP_1,LI,230,NA,No species found,0,0,0
SHCP_1,LI,231,NA,No species found,0,0,0
SHCP_1,LI,232,NA,No species found,0,0,0
SHCP_1,LI,233,NA,No species found,0,0,0
SHCP_1,LI,234,NA,No species found,0,0,0
SHCP_1,LI,235,NA,No species found,0,0,0
WNWR_BT,LI,45,NA,No species found,0,0,0
WNWR_BT,LI,46,NA,No species found,0,0,0
WNWR_BT,LI,47,QUAL,Quercus alba,1,0,0
WNWR_BT,LI,48,QUIL,Quercus ilicifolia,4,0,0
WNWR_BT,LI,49,QUIL,Quercus ilicifolia,1,0,0
WNWR_BT,LI,50,PIRI,Pinus rigida,1,1,0
WNWR_BT,LI,51,NA,No species found,0,0,0
WNWR_BT,LI,52,NA,No species found,0,0,0
WNWR_BT,LI,53,NA,No species found,0,0,0
WNWR_BT,LI,54,NA,No species found,0,0,0
WNWR_BT,LI,55,PIRI,Pinus rigida,1,1,0
WNWR_BT,LI,56,NA,No species found,0,0,0
WNWR_BT,LI,57,NA,No species found,0,0,0
WNWR_BT,LI,58,NA,No species found,0,0,0
WNWR_BT,LI,59,NA,No species found,0,0,0
WNWR_BT,LI,60,NA,No species found,0,0,0
WNWR_BT,LI,61,NA,No species found,0,0,0
WNWR_BT,LI,62,QUIL,Quercus ilicifolia,3,0,0
WNWR_BT,LI,62,QUAL,Quercus alba,1,0,0
WNWR_BT,LI,63,NA,No species found,0,0,0
WNWR_BT,LI,64,NA,No species found,0,0,0
WNWR_BT,LI,65,NA,No species found,0,0,0
WNWR_BT,LI,66,NA,No species found,0,0,0
WNWR_BT,LI,67,QUAL,Quercus alba,1,0,0
WNWR_BT,LI,68,NA,No species found,0,0,0
WNWR_BT,LI,69,QUAL,Quercus alba,1,0,0
HCP_GI,LI,304,NA,No species found,0,0,0
HCP_GI,LI,305,NA,No species found,0,0,0
HCP_GI,LI,306,NA,No species found,0,0,0
HCP_GI,LI,307,NA,No species found,0,0,0
HCP_GI,LI,308,NA,No species found,0,0,0
HCP_GI,LI,309,NA,No species found,0,0,0
HCP_GI,LI,310,NA,No species found,0,0,0
HCP_GI,LI,311,NA,No species found,0,0,0
HCP_GI,LI,312,NA,No species found,0,0,0
HCP_GI,LI,313,NA,No species found,0,0,0
HCP_GI,LI,314,NA,No species found,0,0,0
HCP_GI,LI,315,NA,No species found,0,0,0
HCP_GI,LI,316,NA,No species found,0,0,0
HCP_GI,LI,317,NA,No species found,0,0,0
HCP_GI,LI,318,NA,No species found,0,0,0
HCP_GI,LI,319,NA,No species found,0,0,0
HCP_GI,LI,320,NA,No species found,0,0,0
HCP_GI,LI,321,NA,No species found,0,0,0
HCP_GI,LI,322,NA,No species found,0,0,0
HCP_GI,LI,323,NA,No species found,0,0,0
HCP_GI,LI,324,QUIL,Quercus ilicifolia,1,0,0
HCP_GI,LI,325,NA,No species found,0,0,0
HCP_GI,LI,326,NA,No species found,0,0,0
HCP_GI,LI,327,NA,No species found,0,0,0
HCP_GI,LI,328,NA,No species found,0,0,0
