Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
RPD2_B1,LI,196,QUCO,Quercus coccinea,15,0,0
RPD2_B1,LI,196,QUIL,Quercus ilicifolia,30,1,0
RPD2_B1,LI,197,QUCO,Quercus coccinea,2,0,0
RPD2_B1,LI,197,QUVE,Quercus velutina,5,0,5
RPD2_B1,LI,197,QUIL,Quercus ilicifolia,1,0,0
RPD2_B1,LI,198,QUIL,Quercus ilicifolia,16,0,0
RPD2_B1,LI,198,QUCO,Quercus coccinea,2,0,0
RPD2_B1,LI,199,QUIL,Quercus ilicifolia,6,0,0
RPD2_B1,LI,199,QUAL,Quercus alba,2,0,0
RPD2_B1,LI,199,QUCO,Quercus coccinea,1,0,0
RPD2_B1,LI,200,QUAL,Quercus alba,3,0,0
RPD2_B1,LI,200,QUIL,Quercus ilicifolia,9,0,0
RPD2_B1,LI,200,QUVE,Quercus velutina,2,0,0
RPD2_B1,LI,200,QUCO,Quercus coccinea,5,0,0
RPD2_B1,LI,201,QUAL,Quercus alba,3,0,3
RPD2_B1,LI,201,QUIL,Quercus ilicifolia,44,0,0
RPD2_B1,LI,201,QUCO,Quercus coccinea,2,0,0
RPD2_B1,LI,202,QUIL,Quercus ilicifolia,28,0,0
RPD2_B1,LI,202,QUCO,Quercus coccinea,6,0,0
RPD2_B1,LI,202,QUAL,Quercus alba,1,0,0
RPD2_B1,LI,203,QUIL,Quercus ilicifolia,4,0,0
RPD2_B1,LI,203,QUAL,Quercus alba,4,0,0
RPD2_B1,LI,204,QUCO,Quercus coccinea,3,0,0
RPD2_B1,LI,204,QUAL,Quercus alba,5,0,0
RPD2_B1,LI,205,QUCO,Quercus coccinea,12,0,0
RPD2_B1,LI,205,QUIL,Quercus ilicifolia,11,0,0
RPD2_B1,LI,206,QUIL,Quercus ilicifolia,7,0,0
RPD2_B1,LI,206,QUCO,Quercus coccinea,3,0,0
RPD2_B1,LI,207,QUAL,Quercus alba,7,0,0
RPD2_B1,LI,207,QUIL,Quercus ilicifolia,2,0,0
RPD2_B1,LI,207,QUCO,Quercus coccinea,5,0,0
RPD2_B1,LI,207,QUVE,Quercus velutina,1,0,0
RPD2_B1,LI,208,QUCO,Quercus coccinea,2,0,0
RPD2_B1,LI,208,QUIL,Quercus ilicifolia,6,0,0
RPD2_B1,LI,209,QUAL,Quercus alba,3,0,0
RPD2_B1,LI,209,QUIL,Quercus ilicifolia,14,0,0
RPD2_B1,LI,209,QUCO,Quercus coccinea,1,0,0
RPD2_B1,LI,210,QUIL,Quercus ilicifolia,16,2,0
RPD2_B1,LI,210,QUAL,Quercus alba,3,0,0
RPD2_B1,LI,210,QUCO,Quercus coccinea,2,0,0
RPD2_B1,LI,210,QUVE,Quercus velutina,2,1,0
RPD2_B1,LI,211,QUCO,Quercus coccinea,9,0,0
RPD2_B1,LI,211,QUAL,Quercus alba,10,0,0
RPD2_B1,LI,211,QUIL,Quercus ilicifolia,5,0,0
RPD2_B1,LI,212,QUCO,Quercus coccinea,9,0,0
RPD2_B1,LI,212,QUIL,Quercus ilicifolia,2,0,0
RPD2_B1,LI,213,QUCO,Quercus coccinea,5,0,0
RPD2_B1,LI,213,QUAL,Quercus alba,4,0,0
RPD2_B1,LI,213,QUIL,Quercus ilicifolia,2,0,0
RPD2_B6,LI,169,QUCO,Quercus coccinea,5,3,0
RPD2_B6,LI,169,QUAL,Quercus alba,1,0,0
RPD2_B6,LI,170,QUAL,Quercus alba,3,0,0
RPD2_B6,LI,170,QUIL,Quercus ilicifolia,2,0,0
RPD2_B6,LI,170,QUCO,Quercus coccinea,1,0,0
RPD2_B6,LI,171,QUCO,Quercus coccinea,11,0,9
