Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout
RPD2_B4,LI,106,QUCO,Quercus coccinea,3,0,0
RPD2_B4,LI,106,QUAL,Quercus alba,7,0,0
RPD2_B4,LI,107,QUVE,Quercus velutina,3,0,0
RPD2_B4,LI,107,QUCO,Quercus coccinea,6,0,6
RPD2_B4,LI,108,QUCO,Quercus coccinea,4,0,0
RPD2_B4,LI,108,QUIL,Quercus ilicifolia,2,0,0
RPD2_B4,LI,108,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,109,QUAL,Quercus alba,2,0,0
RPD2_B4,LI,109,QUIL,Quercus ilicifolia,1,0,0
RPD2_B4,LI,109,QUCO,Quercus coccinea,3,0,0
RPD2_B4,LI,110,QUIL,Quercus ilicifolia,1,0,0
RPD2_B4,LI,110,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,111,QUAL,Quercus alba,2,0,0
RPD2_B4,LI,111,QUCO,Quercus coccinea,7,0,6
RPD2_B4,LI,112,QUCO,Quercus coccinea,5,0,0
RPD2_B4,LI,112,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,113,QUCO,Quercus coccinea,1,0,0
RPD2_B4,LI,113,QUIL,Quercus ilicifolia,2,0,0
RPD2_B4,LI,114,QUCO,Quercus coccinea,2,0,0
RPD2_B4,LI,114,QUIL,Quercus ilicifolia,2,0,0
RPD2_B4,LI,115,NA,No species found,0,0,0
RPD2_B4,LI,116,QUCO,Quercus coccinea,4,0,0
RPD2_B4,LI,116,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,116,QUIL,Quercus ilicifolia,8,0,0
RPD2_B4,LI,117,QUCO,Quercus coccinea,21,0,18
RPD2_B4,LI,118,NA,No species found,0,0,0
RPD2_B4,LI,119,QUCO,Quercus coccinea,7,0,7
RPD2_B4,LI,120,QUIL,Quercus ilicifolia,3,0,0
RPD2_B4,LI,120,PIRI,Pinus rigida,1,0,0
RPD2_B4,LI,120,QUCO,Quercus coccinea,2,0,0
RPD2_B4,LI,120,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,121,NA,No species found,0,0,0
RPD2_B4,LI,122,QUCO,Quercus coccinea,4,0,0
RPD2_B4,LI,122,QUAL,Quercus alba,1,0,0
RPD2_B4,LI,123,QUCO,Quercus coccinea,5,0,0
RPD2_B4,LI,123,QUAL,Quercus alba,1,0,0
RPD2_B2,LI,70,QUIL,Quercus ilicifolia,1,0,0
RPD2_B2,LI,70,QUCO,Quercus coccinea,1,1,0
RPD2_B2,LI,71,QUIL,Quercus ilicifolia,22,0,0
RPD2_B2,LI,71,QUCO,Quercus coccinea,1,0,0
RPD2_B2,LI,72,QUIL,Quercus ilicifolia,11,0,0
RPD2_B2,LI,72,QUAL,Quercus alba,2,0,0
RPD2_B2,LI,72,QUCO,Quercus coccinea,2,0,0
RPD2_B2,LI,73,QUIL,Quercus ilicifolia,6,0,0
RPD2_B2,LI,74,QUIL,Quercus ilicifolia,13,0,0
RPD2_B2,LI,74,QUCO,Quercus coccinea,3,0,0
RPD2_B2,LI,75,QUIL,Quercus ilicifolia,3,0,0
RPD2_B2,LI,76,QUIL,Quercus ilicifolia,25,0,0
RPD2_B2,LI,76,QUCO,Quercus coccinea,1,0,0
RPD2_B2,LI,77,QUCO,Quercus coccinea,2,0,0
RPD2_B2,LI,77,QUIL,Quercus ilicifolia,3,0,0
RPD2_B2,LI,78,QUAL,Quercus alba,2,0,0
RPD2_B2,LI,78,QUIL,Quercus ilicifolia,1,0,0
RPD2_B2,LI,79,QUIL,Quercus ilicifolia,7,0,0
RPD2_B2,LI,80,QUIL,Quercus ilicifolia,4,0,0
RPD2_B2,LI,81,QUAL,Quercus alba,3,0,3
RPD2_B2,LI,82,QUAL,Quercus alba,1,0,0
RPD2_B2,LI,82,QUCO,Quercus coccinea,2,0,0
RPD2_B2,LI,83,QUIL,Quercus ilicifolia,18,0,0
RPD2_B2,LI,84,QUIL,Quercus ilicifolia,23,0,0
RPD2_B2,LI,84,QUAL,Quercus alba,3,0,0
RPD2_B2,LI,85,QUIL,Quercus ilicifolia,26,0,0
RPD2_B2,LI,85,QUAL,Quercus alba,14,0,12
RPD2_B2,LI,85,QUCO,Quercus coccinea,1,0,0
RPD2_B2,LI,86,QUAL,Quercus alba,2,0,0
RPD2_B2,LI,86,QUCO,Quercus coccinea,1,0,0
RPD2_B2,LI,86,QUIL,Quercus ilicifolia,4,0,0
RPD2_B2,LI,87,QUIL,Quercus ilicifolia,6,0,0
RPD2_B2,LI,87,QUVE,Quercus velutina,1,0,0
RPD2_B2,LI,87,QUAL,Quercus alba,3,0,0
RPD2_B2,LI,87,QUCO,Quercus coccinea,1,0,0
RPD2_B9,LI,187,QUIL,Quercus ilicifolia,10,0,0
RPD2_B9,LI,188,QUCO,Quercus coccinea,10,0,0
RPD2_B9,LI,188,QUVE,Quercus velutina,3,0,0
RPD2_B9,LI,188,QUAL,Quercus alba,1,0,0
RPD2_B9,LI,188,QUIL,Quercus ilicifolia,3,0,0
RPD2_B9,LI,189,QUAL,Quercus alba,2,0,0
RPD2_B9,LI,189,QUIL,Quercus ilicifolia,9,0,0
RPD2_B9,LI,189,QUCO,Quercus coccinea,2,0,0
RPD2_B9,LI,190,QUVE,Quercus velutina,3,0,0
RPD2_B9,LI,190,QUCO,Quercus coccinea,1,0,0
RPD2_B9,LI,190,QUIL,Quercus ilicifolia,2,0,0
RPD2_B9,LI,191,QUIL,Quercus ilicifolia,22,0,0
RPD2_B9,LI,191,QUCO,Quercus coccinea,2,0,0
RPD2_B9,LI,192,QUIL,Quercus ilicifolia,20,0,0
RPD2_B9,LI,193,QUCO,Quercus coccinea,6,1,0
RPD2_B9,LI,193,QUIL,Quercus ilicifolia,2,0,0
RPD2_B9,LI,193,QUVE,Quercus velutina,2,1,0
RPD2_B9,LI,194,QUIL,Quercus ilicifolia,6,0,0
RPD2_B9,LI,194,QUCO,Quercus coccinea,3,0,0
RPD2_B9,LI,195,QUVE,Quercus velutina,1,0,0
RPD2_B9,LI,195,QUCO,Quercus coccinea,6,0,0
RPD2_B9,LI,195,QUAL,Quercus alba,1,0,0
RPD2_B9,LI,195,QUIL,Quercus ilicifolia,1,0,0
Maspee_G3,MA,329,QUIL,Quercus ilicifolia,12,0,0
Maspee_G3,MA,330,NA,No species found,0,0,0
Maspee_G3,MA,331,QUIL,Quercus ilicifolia,21,0,0
Maspee_G3,MA,331,QUCO,Quercus coccinea,1,0,0
Maspee_G3,MA,332,QUIL,Quercus ilicifolia,14,0,0
Maspee_G3,MA,333,QUIL,Quercus ilicifolia,32,0,0
Maspee_G3,MA,334,QUIL,Quercus ilicifolia,2,0,0
Maspee_G3,MA,334,QUCO,Quercus coccinea,2,0,0
Maspee_G3,MA,335,QUIL,Quercus ilicifolia,20,0,0
Maspee_G3,MA,336,QUIL,Quercus ilicifolia,16,0,0
Maspee_G3,MA,337,QUIL,Quercus ilicifolia,20,0,0
Maspee_G3,MA,338,QUIL,Quercus ilicifolia,14,0,0
Maspee_G3,MA,339,QUIL,Quercus ilicifolia,14,0,0
Maspee_G3,MA,339,QUAL,Quercus alba,1,0,0
Maspee_G3,MA,340,QUIL,Quercus ilicifolia,10,0,0
Maspee_G3,MA,341,QUIL,Quercus ilicifolia,17,0,0
Maspee_G3,MA,342,QUIL,Quercus ilicifolia,32,0,0
Maspee_G3,MA,343,QUIL,Quercus ilicifolia,24,0,0
Maspee_G3,MA,344,QUIL,Quercus ilicifolia,10,0,0
Maspee_G3,MA,345,QUIL,Quercus ilicifolia,17,0,0
Maspee_G3,MA,346,QUIL,Quercus ilicifolia,17,0,0
Maspee_G3,MA,347,QUIL,Quercus ilicifolia,12,0,0
Maspee_G3,MA,348,QUIL,Quercus ilicifolia,6,0,0
Maspee_G3,MA,348,QUCO,Quercus coccinea,1,0,0
Maspee_G3,MA,349,QUIL,Quercus ilicifolia,15,0,0
Maspee_G3,MA,349,QUPR,Quercus prinoides,1,0,0
Maspee_G3,MA,350,QUIL,Quercus ilicifolia,20,0,0
CE_BP20,MA,569,PIRI,Pinus rigida,3,0,0
CE_BP20,MA,569,QUCO,Quercus coccinea,1,0,0
CE_BP20,MA,569,QUPR,Quercus prinoides,1,0,0
CE_BP20,MA,568,QUCO,Quercus coccinea,3,0,3
CE_BP20,MA,568,SAAL,Sassafras albidum,2,0,0
CE_BP20,MA,567,QUIL,Quercus ilicifolia,4,0,0
CE_BP20,MA,567,SAAL,Sassafras albidum,1,0,0
CE_BP20,MA,566,NA,No species found,0,0,0
CE_BP20,MA,565,QUIL,Quercus ilicifolia,6,0,0
CE_BP20,MA,565,SAAL,Sassafras albidum,2,0,0
CE_BP20,MA,564,QUCO,Quercus coccinea,2,0,2
CE_BP20,MA,564,SAAL,Sassafras albidum,1,0,0
CE_BP20,MA,563,QUIL,Quercus ilicifolia,9,0,0
CE_BP20,MA,563,QUCO,Quercus coccinea,1,0,0
CE_BP20,MA,562,PIRI,Pinus rigida,5,0,0
CE_BP20,MA,562,QUAL,Quercus alba,1,0,0
CE_BP20,MA,562,SAAL,Sassafras albidum,1,1,0
CE_BP20,MA,562,AMSP,Amelanchier spp.,1,0,0
CE_BP20,MA,561,PIRI,Pinus rigida,1,1,0
CE_BP20,MA,560,QUAL,Quercus alba,1,0,0
CE_BP20,MA,560,PIRI,Pinus rigida,2,0,0
CE_BP20,MA,559,QUAL,Quercus alba,5,0,0
CE_BP20,MA,559,QUCO,Quercus coccinea,1,0,0
CE_BP20,MA,559,SAAL,Sassafras albidum,1,0,0
CE_BP20,MA,558,PIRI,Pinus rigida,3,0,0
CE_BP20,MA,558,QUAL,Quercus alba,1,0,0
CE_BP20,MA,557,NA,No species found,0,0,0
CE_BP20,MA,556,QUCO,Quercus coccinea,10,0,10
CE_BP20,MA,555,SAAL,Sassafras albidum,4,0,0
CE_BP20,MA,554,PIRI,Pinus rigida,2,0,0
CE_BP20,MA,553,QUCO,Quercus coccinea,1,0,0
CE_BP20,MA,553,QUIL,Quercus ilicifolia,1,0,0
CE_BP20,MA,553,SAAL,Sassafras albidum,1,0,0
CE_BP20,MA,552,QUCO,Quercus coccinea,6,0,6
CE_BP20,MA,552,SAAL,Sassafras albidum,1,0,0
CE_BP20,MA,551,PIRI,Pinus rigida,1,1,0
CE_BP20,MA,550,PIRI,Pinus rigida,6,0,0
CE_BP20,MA,550,QUCO,Quercus coccinea,3,0,3
CE_BP20,MA,549,PIRI,Pinus rigida,6,0,0
CE_BP20,MA,549,SAAL,Sassafras albidum,3,0,3
CE_BP20,MA,548,SAAL,Sassafras albidum,3,0,0
CE_BP20,MA,547,PIRI,Pinus rigida,3,0,0
CE_Wheelock,MA,546,PIRI,Pinus rigida,17,0,0
CE_Wheelock,MA,546,QUIL,Quercus ilicifolia,3,0,0
CE_Wheelock,MA,546,QUCO,Quercus coccinea,6,6,0
CE_Wheelock,MA,545,QUCO,Quercus coccinea,1,0,0
CE_Wheelock,MA,545,PIRI,Pinus rigida,2,0,0
CE_Wheelock,MA,545,QUIL,Quercus ilicifolia,5,0,0
CE_Wheelock,MA,544,QUIL,Quercus ilicifolia,17,0,0
CE_Wheelock,MA,544,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,543,PIRI,Pinus rigida,4,2,0
CE_Wheelock,MA,542,QUCO,Quercus coccinea,2,0,2
CE_Wheelock,MA,541,QUIL,Quercus ilicifolia,1,0,0
CE_Wheelock,MA,541,PIRI,Pinus rigida,12,0,0
CE_Wheelock,MA,540,QUIL,Quercus ilicifolia,13,0,0
CE_Wheelock,MA,540,PIRI,Pinus rigida,3,0,0
CE_Wheelock,MA,540,QUCO,Quercus coccinea,1,0,0
CE_Wheelock,MA,540,AMSP,Amelanchier spp.,3,0,0
CE_Wheelock,MA,539,SAAL,Sassafras albidum,8,1,0
CE_Wheelock,MA,539,PIRI,Pinus rigida,3,0,0
CE_Wheelock,MA,539,ACRU,Acer rubrum,1,0,0
CE_Wheelock,MA,538,QUCO,Quercus coccinea,5,0,0
CE_Wheelock,MA,538,PIRI,Pinus rigida,2,0,0
CE_Wheelock,MA,538,SAAL,Sassafras albidum,2,0,0
CE_Wheelock,MA,537,PIRI,Pinus rigida,3,0,0
CE_Wheelock,MA,537,QUIL,Quercus ilicifolia,9,0,0
CE_Wheelock,MA,537,QUCO,Quercus coccinea,1,0,0
CE_Wheelock,MA,537,SAAL,Sassafras albidum,3,0,0
CE_Wheelock,MA,536,QUIL,Quercus ilicifolia,11,0,0
CE_Wheelock,MA,536,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,536,QUCO,Quercus coccinea,11,0,10
CE_Wheelock,MA,536,PRSE,Prunus serotina,2,0,0
CE_Wheelock,MA,535,QUIL,Quercus ilicifolia,2,0,0
CE_Wheelock,MA,535,PIRI,Pinus rigida,3,0,0
CE_Wheelock,MA,535,SAAL,Sassafras albidum,1,0,0
CE_Wheelock,MA,534,QUIL,Quercus ilicifolia,5,0,0
CE_Wheelock,MA,534,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,533,PIRI,Pinus rigida,14,0,0
CE_Wheelock,MA,533,QUCO,Quercus coccinea,1,0,0
CE_Wheelock,MA,532,PIRI,Pinus rigida,14,0,0
CE_Wheelock,MA,532,QUIL,Quercus ilicifolia,3,0,0
CE_Wheelock,MA,531,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,530,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,529,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,529,QUIL,Quercus ilicifolia,22,0,0
CE_Wheelock,MA,529,AMSP,Amelanchier spp.,2,0,0
CE_Wheelock,MA,528,PIRI,Pinus rigida,1,0,0
CE_Wheelock,MA,527,SAAL,Sassafras albidum,5,0,0
CE_Wheelock,MA,527,QUIL,Quercus ilicifolia,1,0,0
CE_Wheelock,MA,527,PIRI,Pinus rigida,5,0,0
CE_Wheelock,MA,526,QUIL,Quercus ilicifolia,12,0,0
CE_Wheelock,MA,526,QUCO,Quercus coccinea,3,0,0
CE_Wheelock,MA,525,PIRI,Pinus rigida,6,0,0
CE_Wheelock,MA,524,QUCO,Quercus coccinea,1,0,0
CE_Wheelock,MA,524,PIRI,Pinus rigida,2,0,0
