Site,Region,Plot#,Species_Code,Latin_Name,Live_Total,Dead_Total
RPD2_B8,LI,142,PIRI,Pinus rigida,5,1
RPD2_B8,LI,142,QUCO,Quercus coccinea,3,0
RPD2_B8,LI,143,PIRI,Pinus rigida,10,0
RPD2_B8,LI,144,PIRI,Pinus rigida,12,2
RPD2_B8,LI,145,PIRI,Pinus rigida,16,1
RPD2_B8,LI,146,PIRI,Pinus rigida,12,0
RPD2_B8,LI,147,PIRI,Pinus rigida,12,0
RPD2_B8,LI,148,PIRI,Pinus rigida,9,0
RPD2_B8,LI,149,PIRI,Pinus rigida,10,1
RPD2_B8,LI,150,PIRI,Pinus rigida,11,1
RPD2_B8,LI,151,QUAL,Quercus alba,3,0
RPD2_B8,LI,151,PIRI,Pinus rigida,7,0
RPD2_B8,LI,151,QUCO,Quercus coccinea,1,0
RPD2_B8,LI,152,PIRI,Pinus rigida,13,1
RPD2_B8,LI,153,PIRI,Pinus rigida,14,0
RPD2_B8,LI,153,QUCO,Quercus coccinea,2,0
RPD2_B8,LI,154,PIRI,Pinus rigida,15,0
RPD2_B8,LI,154,QUCO,Quercus coccinea,1,0
RPD2_B8,LI,155,PIRI,Pinus rigida,8,0
RPD2_B8,LI,156,PIRI,Pinus rigida,12,0
RPD2_B8,LI,157,PIRI,Pinus rigida,12,0
RPD2_B8,LI,158,PIRI,Pinus rigida,9,0
RPD2_B8,LI,159,PIRI,Pinus rigida,11,1
RPD2_B7,LI,124,QUAL,Quercus alba,0,3
RPD2_B7,LI,124,PIRI,Pinus rigida,13,0
RPD2_B7,LI,124,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,125,PIRI,Pinus rigida,13,3
RPD2_B7,LI,125,QUAL,Quercus alba,1,0
RPD2_B7,LI,126,QUCO,Quercus coccinea,2,0
RPD2_B7,LI,126,PIRI,Pinus rigida,15,1
RPD2_B7,LI,127,PIRI,Pinus rigida,9,3
RPD2_B7,LI,127,QUCO,Quercus coccinea,0,1
RPD2_B7,LI,128,PIRI,Pinus rigida,9,3
RPD2_B7,LI,128,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,129,PIRI,Pinus rigida,12,3
RPD2_B7,LI,129,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,130,PIRI,Pinus rigida,14,1
RPD2_B7,LI,131,PIRI,Pinus rigida,21,0
RPD2_B7,LI,131,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,132,PIRI,Pinus rigida,12,0
RPD2_B7,LI,133,PIRI,Pinus rigida,12,0
RPD2_B7,LI,133,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,134,PIRI,Pinus rigida,13,4
RPD2_B7,LI,134,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,135,PIRI,Pinus rigida,10,1
RPD2_B7,LI,135,QUAL,Quercus alba,3,0
RPD2_B7,LI,136,QUCO,Quercus coccinea,3,0
RPD2_B7,LI,136,PIRI,Pinus rigida,7,4
RPD2_B7,LI,137,PIRI,Pinus rigida,13,2
RPD2_B7,LI,137,QUCO,Quercus coccinea,2,0
RPD2_B7,LI,138,QUAL,Quercus alba,3,0
RPD2_B7,LI,138,PIRI,Pinus rigida,11,1
RPD2_B7,LI,138,QUCO,Quercus coccinea,2,1
RPD2_B7,LI,139,PIRI,Pinus rigida,8,4
RPD2_B7,LI,139,QUCO,Quercus coccinea,2,0
RPD2_B7,LI,139,QUAL,Quercus alba,1,0
RPD2_B7,LI,140,PIRI,Pinus rigida,16,1
RPD2_B7,LI,140,QUCO,Quercus coccinea,1,0
RPD2_B7,LI,141,PIRI,Pinus rigida,14,0
RPD2_B7,LI,141,QUCO,Quercus coccinea,2,0
RPD2_B3,LI,88,QUAL,Quercus alba,1,0
RPD2_B3,LI,88,PIRI,Pinus rigida,8,0
RPD2_B3,LI,88,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,89,QUCO,Quercus coccinea,2,0
RPD2_B3,LI,89,PIRI,Pinus rigida,6,0
RPD2_B3,LI,89,QUAL,Quercus alba,4,0
RPD2_B3,LI,90,QUAL,Quercus alba,3,0
RPD2_B3,LI,90,PIRI,Pinus rigida,8,1
RPD2_B3,LI,90,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,91,PIRI,Pinus rigida,5,2
RPD2_B3,LI,91,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,91,QUAL,Quercus alba,2,0
RPD2_B3,LI,92,PIRI,Pinus rigida,11,1
RPD2_B3,LI,92,QUAL,Quercus alba,1,0
RPD2_B3,LI,93,QUAL,Quercus alba,2,0
RPD2_B3,LI,93,PIRI,Pinus rigida,7,1
RPD2_B3,LI,94,QUAL,Quercus alba,2,0
RPD2_B3,LI,94,PIRI,Pinus rigida,10,1
RPD2_B3,LI,94,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,95,PIRI,Pinus rigida,9,0
RPD2_B3,LI,95,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,96,PIRI,Pinus rigida,11,1
RPD2_B3,LI,96,QUAL,Quercus alba,2,0
RPD2_B3,LI,96,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,97,PIRI,Pinus rigida,6,0
RPD2_B3,LI,97,QUAL,Quercus alba,4,0
RPD2_B3,LI,97,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,98,PIRI,Pinus rigida,7,0
RPD2_B3,LI,99,QUCO,Quercus coccinea,2,0
RPD2_B3,LI,99,PIRI,Pinus rigida,9,0
RPD2_B3,LI,100,PIRI,Pinus rigida,10,1
RPD2_B3,LI,100,QUCO,Quercus coccinea,2,0
RPD2_B3,LI,101,PIRI,Pinus rigida,7,3
RPD2_B3,LI,101,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,102,PIRI,Pinus rigida,10,2
RPD2_B3,LI,103,PIRI,Pinus rigida,11,1
RPD2_B3,LI,103,QUAL,Quercus alba,1,0
RPD2_B3,LI,104,PIRI,Pinus rigida,4,1
RPD2_B3,LI,104,QUAL,Quercus alba,5,0
RPD2_B3,LI,104,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,105,QUCO,Quercus coccinea,1,0
RPD2_B3,LI,105,PIRI,Pinus rigida,13,0
RPD2_B3,LI,105,QUAL,Quercus alba,1,0
