Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
SHCP_1,LI,214,PIRI,Pinus rigida,0,3
SHCP_1,LI,214,ACRU,Acer rubrum,1,0
SHCP_1,LI,214,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,215,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,215,PIRI,Pinus rigida,0,2
SHCP_1,LI,215,QUCO,Quercus coccinea,1,0
SHCP_1,LI,215,SAAL,Sassafras albidum,1,0
SHCP_1,LI,216,PIRI,Pinus rigida,0,1
SHCP_1,LI,216,ACRU,Acer rubrum,1,0
SHCP_1,LI,217,PIRI,Pinus rigida,0,7
SHCP_1,LI,217,NYSY,Nyssa sylvatica,3,0
SHCP_1,LI,217,ACRU,Acer rubrum,5,0
SHCP_1,LI,218,PIRI,Pinus rigida,0,3
SHCP_1,LI,218,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,218,ACRU,Acer rubrum,3,0
SHCP_1,LI,218,QUCO,Quercus coccinea,1,0
SHCP_1,LI,219,PIRI,Pinus rigida,0,5
SHCP_1,LI,219,SAAL,Sassafras albidum,1,0
SHCP_1,LI,219,QUAL,Quercus alba,2,0
SHCP_1,LI,220,ACRU,Acer rubrum,4,0
SHCP_1,LI,220,PIRI,Pinus rigida,0,2
SHCP_1,LI,221,ACRU,Acer rubrum,12,0
SHCP_1,LI,222,ACRU,Acer rubrum,1,0
SHCP_1,LI,222,QUCO,Quercus coccinea,1,0
SHCP_1,LI,222,PIRI,Pinus rigida,0,2
SHCP_1,LI,223,ACRU,Acer rubrum,9,0
SHCP_1,LI,223,PIRI,Pinus rigida,2,2
SHCP_1,LI,224,ACRU,Acer rubrum,8,0
SHCP_1,LI,224,PIRI,Pinus rigida,1,0
SHCP_1,LI,224,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,225,ACRU,Acer rubrum,11,2
SHCP_1,LI,225,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,225,PIRI,Pinus rigida,0,1
SHCP_1,LI,226,PIRI,Pinus rigida,0,5
SHCP_1,LI,226,ACRU,Acer rubrum,3,0
SHCP_1,LI,227,ACRU,Acer rubrum,10,0
SHCP_1,LI,227,PIRI,Pinus rigida,0,8
SHCP_1,LI,228,ACRU,Acer rubrum,4,0
SHCP_1,LI,228,PIRI,Pinus rigida,0,4
SHCP_1,LI,228,NYSY,Nyssa sylvatica,1,0
SHCP_1,LI,229,ACRU,Acer rubrum,11,0
SHCP_1,LI,229,NYSY,Nyssa sylvatica,3,0
SHCP_1,LI,230,QUCO,Quercus coccinea,4,0
SHCP_1,LI,230,PIRI,Pinus rigida,0,5
SHCP_1,LI,230,QUAL,Quercus alba,1,0
SHCP_1,LI,231,PIRI,Pinus rigida,4,1
SHCP_1,LI,231,NYSY,Nyssa sylvatica,5,0
SHCP_1,LI,231,ACRU,Acer rubrum,7,0
SHCP_1,LI,232,ACRU,Acer rubrum,6,1
SHCP_1,LI,232,NYSY,Nyssa sylvatica,7,0
SHCP_1,LI,232,PIRI,Pinus rigida,2,3
SHCP_1,LI,233,ACRU,Acer rubrum,1,0
SHCP_1,LI,233,PIRI,Pinus rigida,0,4
SHCP_1,LI,233,SAAL,Sassafras albidum,1,0
SHCP_1,LI,233,QUAL,Quercus alba,1,0
SHCP_1,LI,233,QUCO,Quercus coccinea,3,0
SHCP_1,LI,234,ACRU,Acer rubrum,1,0
SHCP_1,LI,234,PIRI,Pinus rigida,1,0
SHCP_1,LI,235,PIRI,Pinus rigida,1,3
SHCP_1,LI,235,NYSY,Nyssa sylvatica,1,0
WNWR_BT,LI,45,QUCO,Quercus coccinea,4,0
WNWR_BT,LI,45,PIRI,Pinus rigida,0,3
WNWR_BT,LI,46,QUVE,Quercus velutina,1,0
WNWR_BT,LI,46,PIRI,Pinus rigida,0,4
WNWR_BT,LI,46,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,47,QUST,Quercus stellata,1,0
WNWR_BT,LI,47,PIRI,Pinus rigida,0,3
WNWR_BT,LI,47,QUCO,Quercus coccinea,1,0
WNWR_BT,LI,48,PIRI,Pinus rigida,0,5
WNWR_BT,LI,49,QUAL,Quercus alba,2,0
WNWR_BT,LI,49,PIRI,Pinus rigida,0,8
WNWR_BT,LI,49,QUVE,Quercus velutina,3,0
WNWR_BT,LI,50,PIRI,Pinus rigida,0,5
WNWR_BT,LI,51,PIRI,Pinus rigida,0,1
WNWR_BT,LI,51,QUCO,Quercus coccinea,7,0
WNWR_BT,LI,51,QUVE,Quercus velutina,1,0
WNWR_BT,LI,52,PIRI,Pinus rigida,0,3
WNWR_BT,LI,52,QUCO,Quercus coccinea,3,0
WNWR_BT,LI,53,PIRI,Pinus rigida,0,3
WNWR_BT,LI,53,QUCO,Quercus coccinea,1,0
WNWR_BT,LI,53,QUAL,Quercus alba,1,0
WNWR_BT,LI,54,QUAL,Quercus alba,3,0
WNWR_BT,LI,54,PIRI,Pinus rigida,0,2
WNWR_BT,LI,54,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,55,NA,No species found,0,0
WNWR_BT,LI,56,PIRI,Pinus rigida,0,3
WNWR_BT,LI,56,QUVE,Quercus velutina,1,0
WNWR_BT,LI,56,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,57,QUAL,Quercus alba,1,0
WNWR_BT,LI,57,QUCO,Quercus coccinea,1,0
WNWR_BT,LI,57,PIRI,Pinus rigida,0,2
WNWR_BT,LI,58,QUVE,Quercus velutina,4,0
WNWR_BT,LI,58,QUCO,Quercus coccinea,4,0
WNWR_BT,LI,59,QUVE,Quercus velutina,2,0
WNWR_BT,LI,59,PIRI,Pinus rigida,0,4
WNWR_BT,LI,59,QUCO,Quercus coccinea,4,0
WNWR_BT,LI,60,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,60,PIRI,Pinus rigida,0,3
WNWR_BT,LI,61,PIRI,Pinus rigida,0,5
WNWR_BT,LI,61,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,62,PIRI,Pinus rigida,0,2
WNWR_BT,LI,62,QUAL,Quercus alba,1,0
WNWR_BT,LI,62,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,63,PIRI,Pinus rigida,0,3
WNWR_BT,LI,63,QUCO,Quercus coccinea,2,0
WNWR_BT,LI,64,QUCO,Quercus coccinea,0,1
WNWR_BT,LI,64,PIRI,Pinus rigida,0,3
WNWR_BT,LI,64,QUVE,Quercus velutina,1,0
WNWR_BT,LI,65,PIRI,Pinus rigida,0,3
