Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
RPD2_B1,LI,196,PIRI,Pinus rigida,6,0
RPD2_B1,LI,197,PIRI,Pinus rigida,8,0
RPD2_B1,LI,198,PIRI,Pinus rigida,8,0
RPD2_B1,LI,199,PIRI,Pinus rigida,7,1
RPD2_B1,LI,200,PIRI,Pinus rigida,7,0
RPD2_B1,LI,201,PIRI,Pinus rigida,4,1
RPD2_B1,LI,202,PIRI,Pinus rigida,6,0
RPD2_B1,LI,202,QUAL,Quercus alba,1,0
RPD2_B1,LI,203,PIRI,Pinus rigida,10,0
RPD2_B1,LI,204,PIRI,Pinus rigida,11,1
RPD2_B1,LI,204,QUAL,Quercus alba,0,1
RPD2_B1,LI,205,PIRI,Pinus rigida,7,1
RPD2_B1,LI,206,PIRI,Pinus rigida,5,1
RPD2_B1,LI,206,QUSP,Quercus species,0,1
RPD2_B1,LI,207,PIRI,Pinus rigida,7,0
RPD2_B1,LI,207,QUAL,Quercus alba,0,1
RPD2_B1,LI,208,PIRI,Pinus rigida,8,0
RPD2_B1,LI,209,PIRI,Pinus rigida,6,0
RPD2_B1,LI,210,PIRI,Pinus rigida,9,0
RPD2_B1,LI,210,QUAL,Quercus alba,1,0
RPD2_B1,LI,211,PIRI,Pinus rigida,7,0
RPD2_B1,LI,212,PIRI,Pinus rigida,5,1
RPD2_B1,LI,213,PIRI,Pinus rigida,4,1
RPD2_B6,LI,169,QUAL,Quercus alba,0,5
RPD2_B6,LI,169,PIRI,Pinus rigida,4,2
RPD2_B6,LI,170,PIRI,Pinus rigida,2,0
RPD2_B6,LI,170,QUCO,Quercus coccinea,0,1
RPD2_B6,LI,170,QUAL,Quercus alba,0,2
RPD2_B6,LI,171,PIRI,Pinus rigida,3,1
RPD2_B6,LI,171,QUVE,Quercus velutina,0,1
RPD2_B6,LI,171,QUAL,Quercus alba,0,1
RPD2_B6,LI,172,PIRI,Pinus rigida,4,0
RPD2_B6,LI,172,QUAL,Quercus alba,1,0
RPD2_B6,LI,173,QUAL,Quercus alba,0,1
RPD2_B6,LI,173,PIRI,Pinus rigida,3,1
RPD2_B6,LI,174,PIRI,Pinus rigida,3,0
RPD2_B6,LI,174,QUAL,Quercus alba,0,1
RPD2_B6,LI,175,QUAL,Quercus alba,0,7
RPD2_B6,LI,175,PIRI,Pinus rigida,4,1
RPD2_B6,LI,176,PIRI,Pinus rigida,3,1
RPD2_B6,LI,176,QUAL,Quercus alba,0,1
RPD2_B6,LI,177,QUAL,Quercus alba,0,3
RPD2_B6,LI,177,PIRI,Pinus rigida,4,0
RPD2_B6,LI,177,QUCO,Quercus coccinea,2,0
RPD2_B6,LI,178,QUAL,Quercus alba,0,3
RPD2_B6,LI,178,PIRI,Pinus rigida,4,2
RPD2_B6,LI,178,QUCO,Quercus coccinea,0,1
RPD2_B6,LI,179,QUAL,Quercus alba,0,4
RPD2_B6,LI,179,PIRI,Pinus rigida,2,0
RPD2_B6,LI,179,QUCO,Quercus coccinea,0,1
RPD2_B6,LI,180,PIRI,Pinus rigida,1,1
RPD2_B6,LI,180,QUAL,Quercus alba,1,1
RPD2_B6,LI,181,PIRI,Pinus rigida,6,0
RPD2_B6,LI,182,QUAL,Quercus alba,0,2
RPD2_B6,LI,182,PIRI,Pinus rigida,5,0
RPD2_B6,LI,183,PIRI,Pinus rigida,2,0
RPD2_B6,LI,183,QUAL,Quercus alba,0,2
RPD2_B6,LI,184,QUAL,Quercus alba,0,3
RPD2_B6,LI,184,PIRI,Pinus rigida,2,2
RPD2_B6,LI,185,PIRI,Pinus rigida,1,1
RPD2_B6,LI,186,QUCO,Quercus coccinea,3,0
RPD2_B5,LI,160,PIRI,Pinus rigida,5,4
RPD2_B5,LI,161,PIRI,Pinus rigida,7,3
RPD2_B5,LI,161,QUVE,Quercus velutina,0,1
RPD2_B5,LI,162,PIRI,Pinus rigida,8,1
RPD2_B5,LI,162,QUAL,Quercus alba,0,4
RPD2_B5,LI,163,PIRI,Pinus rigida,9,1
RPD2_B5,LI,164,PIRI,Pinus rigida,8,0
RPD2_B5,LI,164,QUCO,Quercus coccinea,1,2
RPD2_B5,LI,165,PIRI,Pinus rigida,6,1
RPD2_B5,LI,165,QUAL,Quercus alba,0,1
RPD2_B5,LI,165,QUCO,Quercus coccinea,1,1
RPD2_B5,LI,166,PIRI,Pinus rigida,5,2
RPD2_B5,LI,167,PIRI,Pinus rigida,1,1
RPD2_B5,LI,168,PIRI,Pinus rigida,4,4
RPD2_B5,LI,168,QUAL,Quercus alba,0,1
APB_Hoffman,ALB,911,PIRI,Pinus rigida,10,2
APB_Hoffman,ALB,910,PIRI,Pinus rigida,6,2
APB_Hoffman,ALB,909,PIRI,Pinus rigida,8,0
APB_Hoffman,ALB,908,PIRI,Pinus rigida,10,0
APB_Hoffman,ALB,908,QUCO,Quercus coccinea,1,0
APB_Hoffman,ALB,907,PIRI,Pinus rigida,7,2
APB_Hoffman,ALB,907,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,906,PIRI,Pinus rigida,7,1
APB_Hoffman,ALB,906,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,905,PIRI,Pinus rigida,9,0
APB_Hoffman,ALB,905,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,904,PIRI,Pinus rigida,8,1
APB_Hoffman,ALB,904,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,903,PIRI,Pinus rigida,8,1
APB_Hoffman,ALB,903,QUCO,Quercus coccinea,1,0
APB_Hoffman,ALB,902,PIRI,Pinus rigida,9,0
APB_Hoffman,ALB,902,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,901,QUCO,Quercus coccinea,3,0
APB_Hoffman,ALB,901,PIRI,Pinus rigida,9,1
APB_Hoffman,ALB,900,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,900,PIRI,Pinus rigida,5,0
APB_Hoffman,ALB,899,QUCO,Quercus coccinea,1,0
APB_Hoffman,ALB,899,PIRI,Pinus rigida,9,0
APB_Hoffman,ALB,898,PIRI,Pinus rigida,3,0
APB_Hoffman,ALB,898,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,897,PIRI,Pinus rigida,5,0
APB_Hoffman,ALB,896,PIRI,Pinus rigida,8,1
APB_Hoffman,ALB,895,PIRI,Pinus rigida,11,0
APB_Hoffman,ALB,894,PIRI,Pinus rigida,10,0
APB_Hoffman,ALB,894,QUAL,Quercus alba,1,0
APB_Hoffman,ALB,893,PIRI,Pinus rigida,11,1
APB_Hoffman,ALB,893,QUCO,Quercus coccinea,2,0
APB_Hoffman,ALB,893,QUAL,Quercus alba,1,0
APB_Hoffman,ALB,892,PIRI,Pinus rigida,11,0
APB_Hoffman,ALB,891,PIRI,Pinus rigida,12,1
APB_Hoffman,ALB,890,PIRI,Pinus rigida,14,0
APB_Hoffman,ALB,889,PIRI,Pinus rigida,9,0
APB_HuckMound,ALB,795,QUCO,Quercus coccinea,12,2
APB_HuckMound,ALB,794,PIRI,Pinus rigida,8,1
APB_HuckMound,ALB,793,PIRI,Pinus rigida,5,0
APB_HuckMound,ALB,793,QUCO,Quercus coccinea,0,2
APB_HuckMound,ALB,792,PIRI,Pinus rigida,5,0
APB_HuckMound,ALB,792,QUCO,Quercus coccinea,0,1
APB_HuckMound,ALB,791,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,790,PIRI,Pinus rigida,1,0
APB_HuckMound,ALB,790,QUCO,Quercus coccinea,1,0
APB_HuckMound,ALB,789,PIRI,Pinus rigida,6,0
APB_HuckMound,ALB,788,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,787,PIRI,Pinus rigida,3,0
APB_HuckMound,ALB,786,PIRI,Pinus rigida,2,0
APB_HuckMound,ALB,785,PIRI,Pinus rigida,2,0
APB_HuckMound,ALB,784,NA,No species found,0,0
APB_HuckMound,ALB,783,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,783,PIRI,Pinus rigida,0,1
APB_HuckMound,ALB,782,QUCO,Quercus coccinea,2,0
APB_HuckMound,ALB,781,PRSE,Prunus serotina,6,0
APB_HuckMound,ALB,781,POTR,Populus tremuloides,0,2
APB_HuckMound,ALB,781,QUCO,Quercus coccinea,1,0
APB_HuckMound,ALB,780,PIRI,Pinus rigida,2,0
APB_HuckMound,ALB,780,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,779,PIRI,Pinus rigida,10,0
APB_HuckMound,ALB,778,PIRI,Pinus rigida,5,0
APB_HuckMound,ALB,778,PRSE,Prunus serotina,1,0
APB_HuckMound,ALB,778,QUCO,Quercus coccinea,1,0
APB_HuckMound,ALB,777,PIRI,Pinus rigida,8,1
APB_HuckMound,ALB,776,PIRI,Pinus rigida,4,0
APB_HuckMound,ALB,775,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,774,QUCO,Quercus coccinea,4,0
APB_HuckMound,ALB,773,NA,No species found,0,0
APB_Fowlers,ALB,818,PIRI,Pinus rigida,2,0
APB_Fowlers,ALB,817,PIRI,Pinus rigida,1,0
APB_Fowlers,ALB,817,QUCO,Quercus coccinea,2,0
APB_Fowlers,ALB,816,PRSE,Prunus serotina,3,0
APB_Fowlers,ALB,816,PIRI,Pinus rigida,2,0
APB_Fowlers,ALB,816,QUCO,Quercus coccinea,5,0
APB_Fowlers,ALB,815,QUCO,Quercus coccinea,1,0
APB_Fowlers,ALB,815,PIRI,Pinus rigida,1,0
APB_Fowlers,ALB,814,PRSE,Prunus serotina,2,0
APB_Fowlers,ALB,814,QUCO,Quercus coccinea,1,0
APB_Fowlers,ALB,814,PIRI,Pinus rigida,1,0
APB_Fowlers,ALB,813,QUCO,Quercus coccinea,2,0
APB_Fowlers,ALB,812,NA,No species found,0,0
APB_Fowlers,ALB,811,PIRI,Pinus rigida,7,0
APB_Fowlers,ALB,810,PIRI,Pinus rigida,6,0
APB_Fowlers,ALB,809,PIRI,Pinus rigida,5,0
APB_Fowlers,ALB,808,PIRI,Pinus rigida,4,0
APB_Fowlers,ALB,807,NA,No species found,0,0
APB_Fowlers,ALB,806,QUAL,Quercus alba,1,0
APB_Fowlers,ALB,806,QUCO,Quercus coccinea,1,0
APB_Fowlers,ALB,805,PIRI,Pinus rigida,10,0
APB_Fowlers,ALB,805,QUCO,Quercus coccinea,3,0
APB_Fowlers,ALB,804,PIRI,Pinus rigida,2,0
APB_Fowlers,ALB,803,NA,No species found,0,0
APB_Fowlers,ALB,802,PIRI,Pinus rigida,1,0
APB_Fowlers,ALB,801,PIRI,Pinus rigida,5,0
APB_Fowlers,ALB,800,PIRI,Pinus rigida,2,0
APB_Fowlers,ALB,799,NA,No species found,0,0
APB_Fowlers,ALB,798,PIRI,Pinus rigida,2,0
APB_Fowlers,ALB,797,PIRI,Pinus rigida,8,0
APB_Fowlers,ALB,797,QUCO,Quercus coccinea,1,1
APB_Fowlers,ALB,796,PIRI,Pinus rigida,7,0
CE_B7_D,MA,523,PIRI,Pinus rigida,10,2
CE_B7_D,MA,522,PIRI,Pinus rigida,7,0
CE_B7_D,MA,521,PIRI,Pinus rigida,6,3
CE_B7_D,MA,521,QUAL,Quercus alba,2,0
CE_B7_D,MA,521,QUCO,Quercus coccinea,1,0
CE_B7_D,MA,520,PIRI,Pinus rigida,6,3
CE_B7_D,MA,520,QUAL,Quercus alba,1,0
CE_B7_D,MA,519,PIRI,Pinus rigida,6,0
CE_B7_D,MA,519,ACRU,Acer rubrum,2,0
CE_B7_D,MA,518,PIRI,Pinus rigida,10,0
CE_B7_D,MA,518,QUCO,Quercus coccinea,2,0
CE_B7_D,MA,517,PIRI,Pinus rigida,4,0
CE_B7_D,MA,517,QUCO,Quercus coccinea,2,0
CE_B7_D,MA,516,PIRI,Pinus rigida,8,0
CE_B7_D,MA,515,PIRI,Pinus rigida,7,2
CE_B7_D,MA,514,PIRI,Pinus rigida,9,0
CE_B7_D,MA,514,QUAL,Quercus alba,1,0
CE_B7_D,MA,513,PIRI,Pinus rigida,13,1
CE_B7_D,MA,512,PIRI,Pinus rigida,14,0
CE_B7_D,MA,511,PIRI,Pinus rigida,7,0
CE_B7_D,MA,510,PIRI,Pinus rigida,7,0
CE_B7_D,MA,509,PIRI,Pinus rigida,8,0
