Site,Region,Plot_No,Species_Code,Latin_Name,Live_Total,Dead_Total
RPD2_B4,LI,106,PIRI,Pinus rigida,8,0
RPD2_B4,LI,106,QUAL,Quercus alba,1,0
RPD2_B4,LI,107,PIRI,Pinus rigida,8,0
RPD2_B4,LI,107,QUCO,Quercus coccinea,1,0
RPD2_B4,LI,107,QUAL,Quercus alba,1,0
RPD2_B4,LI,108,PIRI,Pinus rigida,6,0
RPD2_B4,LI,108,QUAL,Quercus alba,2,0
RPD2_B4,LI,109,PIRI,Pinus rigida,5,0
RPD2_B4,LI,109,QUAL,Quercus alba,1,0
RPD2_B4,LI,110,PIRI,Pinus rigida,6,0
RPD2_B4,LI,110,QUAL,Quercus alba,2,0
RPD2_B4,LI,111,PIRI,Pinus rigida,11,0
RPD2_B4,LI,111,QUCO,Quercus coccinea,1,0
RPD2_B4,LI,112,PIRI,Pinus rigida,8,0
RPD2_B4,LI,113,PIRI,Pinus rigida,9,0
RPD2_B4,LI,114,QUAL,Quercus alba,1,0
RPD2_B4,LI,114,PIRI,Pinus rigida,8,0
RPD2_B4,LI,115,QUAL,Quercus alba,1,0
RPD2_B4,LI,115,QUCO,Quercus coccinea,1,0
RPD2_B4,LI,115,PIRI,Pinus rigida,3,0
RPD2_B4,LI,116,PIRI,Pinus rigida,4,0
RPD2_B4,LI,117,QUAL,Quercus alba,2,0
RPD2_B4,LI,117,PIRI,Pinus rigida,5,0
RPD2_B4,LI,118,QUAL,Quercus alba,5,0
RPD2_B4,LI,118,PIRI,Pinus rigida,5,0
RPD2_B4,LI,119,PIRI,Pinus rigida,5,1
RPD2_B4,LI,119,QUAL,Quercus alba,1,0
RPD2_B4,LI,120,QUCO,Quercus coccinea,1,0
RPD2_B4,LI,120,QUAL,Quercus alba,1,0
RPD2_B4,LI,120,PIRI,Pinus rigida,4,0
RPD2_B4,LI,121,PIRI,Pinus rigida,8,0
RPD2_B4,LI,121,QUAL,Quercus alba,2,0
RPD2_B4,LI,121,QUCO,Quercus coccinea,1,0
RPD2_B4,LI,122,PIRI,Pinus rigida,6,0
RPD2_B4,LI,122,QUCO,Quercus coccinea,0,1
RPD2_B4,LI,122,QUAL,Quercus alba,1,0
RPD2_B4,LI,123,QUCO,Quercus coccinea,3,1
RPD2_B4,LI,123,PIRI,Pinus rigida,3,0
RPD2_B2,LI,70,PIRI,Pinus rigida,7,0
RPD2_B2,LI,70,QUAL,Quercus alba,2,0
RPD2_B2,LI,71,PIRI,Pinus rigida,9,0
RPD2_B2,LI,72,PIRI,Pinus rigida,5,0
RPD2_B2,LI,73,PIRI,Pinus rigida,9,0
RPD2_B2,LI,73,QUAL,Quercus alba,1,0
RPD2_B2,LI,74,PIRI,Pinus rigida,5,0
RPD2_B2,LI,75,PIRI,Pinus rigida,5,0
RPD2_B2,LI,75,QUAL,Quercus alba,1,0
RPD2_B2,LI,76,PIRI,Pinus rigida,5,0
RPD2_B2,LI,77,PIRI,Pinus rigida,11,0
RPD2_B2,LI,78,PIRI,Pinus rigida,13,0
RPD2_B2,LI,78,QUAL,Quercus alba,2,0
RPD2_B2,LI,79,PIRI,Pinus rigida,8,0
RPD2_B2,LI,80,PIRI,Pinus rigida,9,0
RPD2_B2,LI,81,PIRI,Pinus rigida,8,0
RPD2_B2,LI,81,QUAL,Quercus alba,5,0
RPD2_B2,LI,82,QUAL,Quercus alba,5,0
RPD2_B2,LI,82,PIRI,Pinus rigida,8,0
RPD2_B2,LI,83,PIRI,Pinus rigida,3,0
RPD2_B2,LI,83,QUAL,Quercus alba,1,0
RPD2_B2,LI,84,PIRI,Pinus rigida,4,0
RPD2_B2,LI,84,QUAL,Quercus alba,2,0
RPD2_B2,LI,85,PIRI,Pinus rigida,7,0
RPD2_B2,LI,85,QUAL,Quercus alba,1,0
RPD2_B2,LI,86,PIRI,Pinus rigida,7,0
RPD2_B2,LI,86,QUAL,Quercus alba,2,0
RPD2_B2,LI,87,QUAL,Quercus alba,1,0
RPD2_B2,LI,87,PIRI,Pinus rigida,5,0
RPD2_B9,LI,187,PIRI,Pinus rigida,7,0
RPD2_B9,LI,187,QUCO,Quercus coccinea,1,0
RPD2_B9,LI,188,PIRI,Pinus rigida,7,0
RPD2_B9,LI,189,PIRI,Pinus rigida,4,2
