Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
RPD2_B8,LI,142,NA,No species found,0,,
RPD2_B8,LI,143,QUAL,Quercus alba,2.5,,
RPD2_B8,LI,143,QUCO,Quercus coccinea,5.2,,
RPD2_B8,LI,143,QUAL,Quercus alba,5.7,,
RPD2_B8,LI,143,QUCO,Quercus coccinea,4.3,,
RPD2_B8,LI,143,QUCO,Quercus coccinea,3.8,,
RPD2_B8,LI,144,QUCO,Quercus coccinea,2.6,,
RPD2_B8,LI,144,QUCO,Quercus coccinea,2.5,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,6,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,5.3,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,3.2,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,7.1,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,5.9,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,6.5,,
RPD2_B8,LI,145,QUCO,Quercus coccinea,4.4,,
RPD2_B8,LI,146,QUCO,Quercus coccinea,9.5,,
RPD2_B8,LI,146,QUCO,Quercus coccinea,9.1,,
RPD2_B8,LI,147,QUVE,Quercus velutina,6.8,,
RPD2_B8,LI,147,QUAL,Quercus alba,6.1,,
RPD2_B8,LI,147,QUAL,Quercus alba,3.1,,
RPD2_B8,LI,147,QUAL,Quercus alba,4.5,,
RPD2_B8,LI,148,NA,No species found,0,,
RPD2_B8,LI,149,QUVE,Quercus velutina,2.5,,
RPD2_B8,LI,149,QUCO,Quercus coccinea,3.1,,
RPD2_B8,LI,149,QUVE,Quercus velutina,2.7,,
RPD2_B8,LI,149,QUAL,Quercus alba,5.1,,
RPD2_B8,LI,149,QUAL,Quercus alba,5.7,,
RPD2_B8,LI,150,QUAL,Quercus alba,2.7,,
RPD2_B8,LI,150,QUAL,Quercus alba,4.8,,
RPD2_B8,LI,150,QUAL,Quercus alba,2.6,,
RPD2_B8,LI,150,QUAL,Quercus alba,7,,
RPD2_B8,LI,150,QUCO,Quercus coccinea,2.7,,
RPD2_B8,LI,150,QUCO,Quercus coccinea,2.8,,
RPD2_B8,LI,151,QUCO,Quercus coccinea,3.4,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,4.3,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,7.5,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,4.6,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,8.7,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,6,,
RPD2_B8,LI,152,QUCO,Quercus coccinea,5.2,,
RPD2_B8,LI,153,QUCO,Quercus coccinea,7.9,,
RPD2_B8,LI,153,QUAL,Quercus alba,8,,
RPD2_B8,LI,153,QUAL,Quercus alba,4.3,,
