Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
TNCO_B1,NH,257,NA,No species found,0,,
TNCO_B1,NH,258,NA,No species found,0,,
TNCO_B1,NH,259,NA,No species found,0,,
TNCO_B1,NH,260,NA,No species found,0,,
TNCO_B1,NH,261,NA,No species found,0,,
TNCO_B1,NH,262,NA,No species found,0,,
TNCO_B1,NH,263,NA,No species found,0,,
TNCO_B1,NH,264,NA,No species found,0,,
TNCO_B1,NH,265,NA,No species found,0,,
TNCO_B1,NH,266,NA,No species found,0,,
TNCO_B1,NH,267,NA,No species found,0,,
TNCO_B1,NH,268,NA,No species found,0,,
TNCO_B1,NH,269,NA,No species found,0,,
TNCO_B1,NH,270,NA,No species found,0,,
TNCO_B1,NH,271,ACRU,Acer rubrum,9.8,,"FIRE, damage severe"
TNCO_B1,NH,272,NA,No species found,0,,
TNCO_B1,NH,273,NA,No species found,0,,
TNCO_B1,NH,274,NA,No species found,0,,
TNCO_B1,NH,275,NA,No species found,0,,
TNCO_B1,NH,276,NA,No species found,0,,
TNCO_B1,NH,277,NA,No species found,0,,
TNCO_B1,NH,278,NA,No species found,0,,
TNCO_B1,NH,279,NA,No species found,0,,
TNCO_B1,NH,280,NA,No species found,0,,
Mashpee_B1,MA,369,NA,No species found,0.0,,
Mashpee_B1,MA,370,QUCO,Quercus coccinea,3.1,,
Mashpee_B1,MA,371,NA,No species found,0.0,,
Mashpee_B1,MA,372,NA,No species found,0.0,,
Mashpee_B1,MA,373,NA,No species found,0.0,,
Mashpee_B1,MA,374,NA,No species found,0.0,,
Mashpee_B1,MA,375,NA,No species found,0.0,,
Mashpee_B1,MA,376,NA,No species found,0.0,,
Mashpee_B1,MA,377,QUCO,Quercus coccinea,5.8,,
Mashpee_B1,MA,377,QUCO,Quercus coccinea,4.6,,
Mashpee_B1,MA,377,QUCO,Quercus coccinea,3.4,,
Mashpee_B1,MA,377,QUCO,Quercus coccinea,4.1,,
Mashpee_B1,MA,377,QUCO,Quercus coccinea,4.2,,
Mashpee_B1,MA,378,ACRU,Acer rubrum,3.4,,
Mashpee_B1,MA,379,NA,No species found,0.0,,
Mashpee_B1,MA,380,NA,No species found,0.0,,
Mashpee_B1,MA,381,NA,No species found,0.0,,
Mashpee_B1,MA,382,QUCO,Quercus coccinea,3.4,,
Mashpee_B1,MA,382,QUCO,Quercus coccinea,4.5,,
Mashpee_B1,MA,382,QUCO,Quercus coccinea,2.5,,
Mashpee_B1,MA,383,NA,No species found,0.0,,
Mashpee_B1,MA,384,NA,No species found,0.0,,
Mashpee_B1,MA,385,NA,No species found,0.0,,
Mashpee_B1,MA,386,NA,No species found,0.0,,
Mashpee_B1,MA,387,NA,No species found,0.0,,
Mashpee_B1,MA,388,QUCO,Quercus coccinea,3.0,,FIRE DAMAGE TO BOLE
Mashpee_B1,MA,388,QUCO,Quercus coccinea,2.5,,FIRE DAMAGE TO BOLE
Mashpee_B1,MA,388,QUCO,Quercus coccinea,3.5,,FIRE DAMAGE TO BOLE
Mashpee_B1,MA,389,NA,No species found,0.0,,
Mashpee_B1,MA,390,NA,No species found,0.0,,
TNCO_Hobbs5,NH,980,NA,No species found,0.0,,
TNCO_Hobbs5,NH,979,NA,No species found,0.0,,
TNCO_Hobbs5,NH,978,NA,No species found,0.0,,
TNCO_Hobbs5,NH,977,NA,No species found,0.0,,
TNCO_Hobbs5,NH,976,NA,No species found,0.0,,
TNCO_Hobbs5,NH,975,QUIL,Quercus ilicifolia,4.2,,DEAD TOP
TNCO_Hobbs5,NH,974,NA,No species found,0.0,,
TNCO_Hobbs5,NH,973,NA,No species found,0.0,,
TNCO_Hobbs5,NH,972,NA,No species found,0.0,,
TNCO_Hobbs5,NH,971,NA,No species found,0.0,,
TNCO_Hobbs5,NH,970,NA,No species found,0.0,,
TNCO_Hobbs5,NH,969,NA,No species found,0.0,,
TNCO_Hobbs5,NH,968,NA,No species found,0.0,,
TNCO_Hobbs5,NH,967,NA,No species found,0.0,,
