Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
APB_Chubb_W,ALB,728,NA,No species found,0.0,,
APB_Chubb_W,ALB,727,NA,No species found,0.0,,
APB_Chubb_W,ALB,726,NA,No species found,0.0,,
APB_Chubb_W,ALB,725,NA,No species found,0.0,,
APB_Chubb_W,ALB,724,NA,No species found,0.0,,
APB_Chubb_W,ALB,723,NA,No species found,0.0,,
APB_Chubb_W,ALB,722,NA,No species found,0.0,,
APB_Chubb_W,ALB,721,NA,No species found,0.0,,
APB_Chubb_W,ALB,720,NA,No species found,0.0,,
APB_Chubb_W,ALB,719,QUCO,Quercus coccinea,7.3,,
APB_Chubb_W,ALB,718,NA,No species found,0.0,,
APB_Chubb_W,ALB,717,NA,No species found,0.0,,
APB_Chubb_W,ALB,716,NA,No species found,0.0,,
APB_Chubb_W,ALB,715,QUAL,Quercus alba,7.5,,DEAD TOP
APB_Chubb_W,ALB,714,NA,No species found,0.0,,
APB_Chubb_W,ALB,713,NA,No species found,0.0,,
APB_Chubb_W,ALB,712,NA,No species found,0.0,,
APB_Chubb_W,ALB,711,NA,No species found,0.0,,
APB_Chubb_W,ALB,710,NA,No species found,0.0,,
APB_Chubb_W,ALB,709,NA,No species found,0.0,,
APB_Chubb_W,ALB,708,BELE,Betula lenta,4.7,,
APB_Chubb_W,ALB,707,NA,No species found,0.0,,
APB_Chubb_W,ALB,706,QUCO,Quercus coccinea,2.8,,STUMP SPROUT
APB_Dandy,ALB,842,NA,No species found,0.0,,
APB_Dandy,ALB,841,NA,No species found,0.0,,
APB_Dandy,ALB,840,NA,No species found,0.0,,
APB_Dandy,ALB,839,NA,No species found,0.0,,
APB_Dandy,ALB,838,NA,No species found,0.0,,
APB_Dandy,ALB,837,NA,No species found,0.0,,
APB_Dandy,ALB,836,NA,No species found,0.0,,
APB_Dandy,ALB,835,NA,No species found,0.0,,
APB_Dandy,ALB,834,NA,No species found,0.0,,
APB_Dandy,ALB,833,NA,No species found,0.0,,
APB_Dandy,ALB,832,PIRI,Pinus rigida,8.4,,
APB_Dandy,ALB,832,PIRI,Pinus rigida,9.3,,
APB_Dandy,ALB,831,AMSP,Amelanchier spp.,3.0,,CEOR VINES
APB_Dandy,ALB,830,NA,No species found,0.0,,
APB_Dandy,ALB,829,NA,No species found,0.0,,
APB_Dandy,ALB,828,NA,No species found,0.0,,
APB_Dandy,ALB,827,NA,No species found,0.0,,
APB_Dandy,ALB,826,NA,No species found,0.0,,
APB_Dandy,ALB,825,NA,No species found,0.0,,
APB_Dandy,ALB,824,NA,No species found,0.0,,
APB_Dandy,ALB,823,NA,No species found,0.0,,
APB_Dandy,ALB,822,NA,No species found,0.0,,
APB_Dandy,ALB,821,NA,No species found,0.0,,
APB_Dandy,ALB,820,NA,No species found,0.0,,
APB_Dandy,ALB,819,NA,No species found,0.0,,
APB_Chubb_E,ALB,888,NA,No species found,0.0,,
APB_Chubb_E,ALB,887,NA,No species found,0.0,,
APB_Chubb_E,ALB,886,NA,No species found,0.0,,
APB_Chubb_E,ALB,885,NA,No species found,0.0,,
APB_Chubb_E,ALB,884,QUCO,Quercus coccinea,2.8,,
APB_Chubb_E,ALB,883,QUCO,Quercus coccinea,3.6,,STUMP SPROUT
APB_Chubb_E,ALB,883,QUCO,Quercus coccinea,2.5,,
APB_Chubb_E,ALB,882,NA,No species found,0.0,,
