Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
RPD2_B1,LI,196,NA,No species found,0.0,,
RPD2_B1,LI,197,NA,No species found,0.0,,
RPD2_B1,LI,198,NA,No species found,0.0,,
RPD2_B1,LI,199,NA,No species found,0.0,,
RPD2_B1,LI,200,NA,No species found,0.0,,
RPD2_B1,LI,201,NA,No species found,0.0,,
RPD2_B1,LI,202,NA,No species found,0.0,,
RPD2_B1,LI,203,NA,No species found,0.0,,
RPD2_B1,LI,204,NA,No species found,0.0,,
RPD2_B1,LI,205,NA,No species found,0.0,,
RPD2_B1,LI,206,NA,No species found,0.0,,
RPD2_B1,LI,207,NA,No species found,0.0,,
RPD2_B1,LI,208,NA,No species found,0.0,,
RPD2_B1,LI,209,NA,No species found,0.0,,
RPD2_B1,LI,210,NA,No species found,0.0,,
RPD2_B1,LI,211,NA,No species found,0.0,,
RPD2_B1,LI,212,NA,No species found,0.0,,
RPD2_B1,LI,213,NA,No species found,0.0,,
RPD2_B6,LI,169,NA,No species found,0.0,,
RPD2_B6,LI,170,NA,No species found,0.0,,
RPD2_B6,LI,171,NA,No species found,0.0,,
RPD2_B6,LI,172,NA,No species found,0.0,,
RPD2_B6,LI,173,NA,No species found,0.0,,
RPD2_B6,LI,174,NA,No species found,0.0,,
RPD2_B6,LI,175,NA,No species found,0.0,,
RPD2_B6,LI,176,NA,No species found,0.0,,
RPD2_B6,LI,177,NA,No species found,0.0,,
RPD2_B6,LI,178,NA,No species found,0.0,,
RPD2_B6,LI,179,NA,No species found,0.0,,
RPD2_B6,LI,180,NA,No species found,0.0,,
RPD2_B6,LI,181,NA,No species found,0.0,,
RPD2_B6,LI,182,NA,No species found,0.0,,
RPD2_B6,LI,183,NA,No species found,0.0,,
RPD2_B6,LI,184,NA,No species found,0.0,,
RPD2_B6,LI,185,NA,No species found,0.0,,
RPD2_B6,LI,186,NA,No species found,0.0,,
RPD2_B5,LI,160,NA,No species found,0.0,,
RPD2_B5,LI,161,NA,No species found,0.0,,
RPD2_B5,LI,162,NA,No species found,0.0,,
RPD2_B5,LI,163,NA,No species found,0.0,,
RPD2_B5,LI,164,NA,No species found,0.0,,
RPD2_B5,LI,165,NA,No species found,0.0,,
RPD2_B5,LI,166,NA,No species found,0.0,,
RPD2_B5,LI,167,NA,No species found,0.0,,
RPD2_B5,LI,168,NA,No species found,0.0,,
APB_Hoffman,ALB,911,NA,No species found,0.0,,
APB_Hoffman,ALB,910,NA,No species found,0.0,,
APB_Hoffman,ALB,909,NA,No species found,0.0,,
APB_Hoffman,ALB,908,NA,No species found,0.0,,
APB_Hoffman,ALB,907,NA,No species found,0.0,,
APB_Hoffman,ALB,906,NA,No species found,0.0,,
APB_Hoffman,ALB,905,NA,No species found,0.0,,
APB_Hoffman,ALB,904,NA,No species found,0.0,,
APB_Hoffman,ALB,903,NA,No species found,0.0,,
APB_Hoffman,ALB,902,NA,No species found,0.0,,
APB_Hoffman,ALB,901,NA,No species found,0.0,,
APB_Hoffman,ALB,900,NA,No species found,0.0,,
APB_Hoffman,ALB,899,NA,No species found,0.0,,
APB_Hoffman,ALB,898,NA,No species found,0.0,,
APB_Hoffman,ALB,897,QUVE,Quercus velutina,3.0,,CEOR VINES
APB_Hoffman,ALB,896,NA,No species found,0.0,,
APB_Hoffman,ALB,895,NA,No species found,0.0,,
APB_Hoffman,ALB,894,NA,No species found,0.0,,
APB_Hoffman,ALB,893,NA,No species found,0.0,,
APB_Hoffman,ALB,892,NA,No species found,0.0,,
APB_Hoffman,ALB,891,NA,No species found,0.0,,
APB_Hoffman,ALB,890,NA,No species found,0.0,,
APB_Hoffman,ALB,889,NA,No species found,0.0,,
APB_HuckMound,ALB,795,NA,No species found,0.0,,
APB_HuckMound,ALB,794,NA,No species found,0.0,,
APB_HuckMound,ALB,793,NA,No species found,0.0,,
APB_HuckMound,ALB,792,NA,No species found,0.0,,
APB_HuckMound,ALB,791,NA,No species found,0.0,,
APB_HuckMound,ALB,790,NA,No species found,0.0,,
APB_HuckMound,ALB,789,PIRI,Pinus rigida,9.8,,
APB_HuckMound,ALB,788,NA,No species found,0.0,,
APB_HuckMound,ALB,787,NA,No species found,0.0,,
APB_HuckMound,ALB,786,NA,No species found,0.0,,
APB_HuckMound,ALB,785,NA,No species found,0.0,,
APB_HuckMound,ALB,784,NA,No species found,0.0,,
APB_HuckMound,ALB,783,NA,No species found,0.0,,
APB_HuckMound,ALB,782,SAAL,Sassafras albidum,2.5,,
APB_HuckMound,ALB,781,NA,No species found,0.0,,
APB_HuckMound,ALB,780,NA,No species found,0.0,,
APB_HuckMound,ALB,779,NA,No species found,0.0,,
APB_HuckMound,ALB,778,NA,No species found,0.0,,
APB_HuckMound,ALB,777,NA,No species found,0.0,,
APB_HuckMound,ALB,776,NA,No species found,0.0,,
APB_HuckMound,ALB,775,NA,No species found,0.0,,
APB_HuckMound,ALB,774,NA,No species found,0.0,,
APB_HuckMound,ALB,773,NA,No species found,0.0,,
APB_Fowlers,ALB,818,NA,No species found,0.0,,
APB_Fowlers,ALB,817,NA,No species found,0.0,,
APB_Fowlers,ALB,816,NA,No species found,0.0,,
APB_Fowlers,ALB,815,NA,No species found,0.0,,
APB_Fowlers,ALB,814,NA,No species found,0.0,,
APB_Fowlers,ALB,813,NA,No species found,0.0,,
APB_Fowlers,ALB,812,PRVI,Prunus virginiana,3.6,,ENCASED AND TOPPLED BY VINES
APB_Fowlers,ALB,811,ROPS,Robinia pseudoacacia,2.5,,
APB_Fowlers,ALB,810,NA,No species found,0.0,,
APB_Fowlers,ALB,809,NA,No species found,0.0,,
APB_Fowlers,ALB,808,NA,No species found,0.0,,
APB_Fowlers,ALB,807,NA,No species found,0.0,,
APB_Fowlers,ALB,806,PRSE,Prunus serotina,3.3,,CEOR VINES
APB_Fowlers,ALB,805,NA,No species found,0.0,,
APB_Fowlers,ALB,804,NA,No species found,0.0,,
APB_Fowlers,ALB,803,NA,No species found,0.0,,
APB_Fowlers,ALB,802,NA,No species found,0.0,,
APB_Fowlers,ALB,801,NA,No species found,0.0,,
APB_Fowlers,ALB,800,NA,No species found,0.0,,
APB_Fowlers,ALB,799,NA,No species found,0.0,,
APB_Fowlers,ALB,798,NA,No species found,0.0,,
APB_Fowlers,ALB,797,NA,No species found,0.0,,
APB_Fowlers,ALB,796,NA,No species found,0.0,,
CE_B7_D,MA,523,NA,No species found,0.0,,
CE_B7_D,MA,522,NA,No species found,0.0,,
CE_B7_D,MA,521,QUCO,Quercus coccinea,7.2,,
CE_B7_D,MA,521,QUAL,Quercus alba,9.2,,
CE_B7_D,MA,520,QUCO,Quercus coccinea,5.3,,FIRE DAMAGE
CE_B7_D,MA,520,QUCO,Quercus coccinea,3.5,,FIRE DAMAGE
CE_B7_D,MA,519,QUVE,Quercus velutina,3.2,,FIRE DAMAGE
CE_B7_D,MA,519,QUCO,Quercus coccinea,6.0,,FIRE DAMAGE
CE_B7_D,MA,518,NA,No species found,0.0,,
CE_B7_D,MA,517,NA,No species found,0.0,,
CE_B7_D,MA,516,NA,No species found,0.0,,
CE_B7_D,MA,515,NA,No species found,0.0,,
CE_B7_D,MA,514,QUCO,Quercus coccinea,6.2,,FIRE DAMAGE
CE_B7_D,MA,513,NA,No species found,0.0,,
CE_B7_D,MA,512,NA,No species found,0.0,,
CE_B7_D,MA,511,NA,No species found,0.0,,
CE_B7_D,MA,510,NA,No species found,0.0,,
CE_B7_D,MA,509,NA,No species found,0.0,,
CE_B7_D,MA,508,NA,No species found,0.0,,
CE_B7_D,MA,507,QUCO,Quercus coccinea,6.7,,FIRE DAMAGE
CE_B7_D,MA,506,NA,No species found,0.0,,
CE_B7_D,MA,505,NA,No species found,0.0,,
CE_B7_D,MA,504,NA,No species found,0.0,,
CE_B7_D,MA,503,NA,No species found,0.0,,
CE_B7_D,MA,502,NA,No species found,0.0,,
CE_B7_D,MA,501,NA,No species found,0.0,,
CE_B7_D,MA,500,NA,No species found,0.0,,
CE_SWB_E1,MA,611,NA,No species found,0.0,,
CE_SWB_E1,MA,610,NA,No species found,0.0,,
CE_SWB_E1,MA,609,NA,No species found,0.0,,
CE_SWB_E1,MA,608,QUAL,Quercus alba,5.0,,
CE_SWB_E1,MA,607,PRSE,Prunus serotina,5.7,,
CE_SWB_E1,MA,606,NA,No species found,0.0,,
CE_SWB_E1,MA,605,QUAL,Quercus alba,6.8,,
CE_SWB_E1,MA,604,QUCO,Quercus coccinea,9.2,,
CE_SWB_E1,MA,603,QUAL,Quercus alba,8.7,,
CE_SWB_E1,MA,602,QUAL,Quercus alba,3.9,,
CE_SWB_E1,MA,601,NA,No species found,0.0,,
CE_SWB_E1,MA,600,NA,No species found,0.0,,
CE_SWB_E1,MA,599,NA,No species found,0.0,,
CE_SWB_E1,MA,598,PIRI,Pinus rigida,8.3,,
CE_SWB_E1,MA,597,NA,No species found,0.0,,
CE_SWB_E1,MA,596,NA,No species found,0.0,,
CE_SWB_E1,MA,595,NA,No species found,0.0,,
CE_SWB_E1,MA,594,NA,No species found,0.0,,
CE_SWB_E1,MA,593,NA,No species found,0.0,,
CE_SWB_E1,MA,592,QUCO,Quercus coccinea,6.3,,
