Site,Region,Plot_No,Species_Code,Latin_Name,DBH(cm),Browse,Other_damage
RPD2_B4,LI,106,NA,No species found,0.0,,
RPD2_B4,LI,107,NA,No species found,0.0,,
RPD2_B4,LI,108,NA,No species found,0.0,,
RPD2_B4,LI,109,NA,No species found,0.0,,
RPD2_B4,LI,110,NA,No species found,0.0,,
RPD2_B4,LI,111,NA,No species found,0.0,,
RPD2_B4,LI,112,NA,No species found,0.0,,
RPD2_B4,LI,113,QUCO,Quercus coccinea,4.8,,
RPD2_B4,LI,114,NA,No species found,0.0,,
RPD2_B4,LI,115,QUCO,Quercus coccinea,9.4,,
RPD2_B4,LI,116,NA,No species found,0.0,,
RPD2_B4,LI,117,QUCO,Quercus coccinea,2.8,,
RPD2_B4,LI,117,QUCO,Quercus coccinea,2.7,,
RPD2_B4,LI,118,QUCO,Quercus coccinea,2.6,,
RPD2_B4,LI,118,QUCO,Quercus coccinea,2.6,,
RPD2_B4,LI,119,QUCO,Quercus coccinea,2.8,,
RPD2_B4,LI,120,NA,No species found,0.0,,
RPD2_B4,LI,121,NA,No species found,0.0,,
RPD2_B4,LI,122,NA,No species found,0.0,,
RPD2_B4,LI,123,NA,No species found,0.0,,
RPD2_B2,LI,70,NA,No species found,0.0,,
RPD2_B2,LI,71,NA,No species found,0.0,,
RPD2_B2,LI,72,NA,No species found,0.0,,
RPD2_B2,LI,73,NA,No species found,0.0,,
RPD2_B2,LI,74,NA,No species found,0.0,,
RPD2_B2,LI,75,NA,No species found,0.0,,
RPD2_B2,LI,76,NA,No species found,0.0,,
RPD2_B2,LI,77,NA,No species found,0.0,,
RPD2_B2,LI,78,NA,No species found,0.0,,
RPD2_B2,LI,79,NA,No species found,0.0,,
RPD2_B2,LI,80,QUAL,Quercus alba,8.5,,
RPD2_B2,LI,81,NA,No species found,0.0,,
RPD2_B2,LI,82,NA,No species found,0.0,,
RPD2_B2,LI,83,NA,No species found,0.0,,
RPD2_B2,LI,84,NA,No species found,0.0,,
RPD2_B2,LI,85,NA,No species found,0.0,,
RPD2_B2,LI,86,NA,No species found,0.0,,
RPD2_B2,LI,87,NA,No species found,0.0,,
RPD2_B9,LI,187,NA,No species found,0.0,,
RPD2_B9,LI,188,NA,No species found,0.0,,
RPD2_B9,LI,189,NA,No species found,0.0,,
RPD2_B9,LI,190,NA,No species found,0.0,,
RPD2_B9,LI,191,NA,No species found,0.0,,
RPD2_B9,LI,192,NA,No species found,0.0,,
RPD2_B9,LI,193,NA,No species found,0.0,,
RPD2_B9,LI,194,NA,No species found,0.0,,
RPD2_B9,LI,195,NA,No species found,0.0,,
Mashpee_G3,MA,329,NA,No species found,0.0,,
Mashpee_G3,MA,330,PIRI,Pinus rigida,5.2,,
Mashpee_G3,MA,331,NA,No species found,0.0,,
Mashpee_G3,MA,332,QUCO,Quercus coccinea,2.6,,
Mashpee_G3,MA,332,PIRI,Pinus rigida,7.0,,
Mashpee_G3,MA,332,PIRI,Pinus rigida,3.6,,
Mashpee_G3,MA,333,NA,No species found,0.0,,
