Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
RPD2_B8,LI,142,QUCO,Quercus coccinea,6,0,0,0
RPD2_B8,LI,143,NA,No species found,0,0,0,0
RPD2_B8,LI,144,QUVE,Quercus velutina,1,0,0,0
RPD2_B8,LI,144,QUCO,Quercus coccinea,1,0,0,0
RPD2_B8,LI,145,QUCO,Quercus coccinea,3,0,0,0
RPD2_B8,LI,146,QUCO,Quercus coccinea,2,0,0,0
RPD2_B8,LI,147,NA,No species found,0,0,0,0
RPD2_B8,LI,148,QUCO,Quercus coccinea,12,0,0,0
RPD2_B8,LI,148,QUVE,Quercus velutina,6,0,0,0
RPD2_B8,LI,149,QUCO,Quercus coccinea,2,0,0,0
RPD2_B8,LI,149,QUAL,Quercus alba,2,0,0,1
RPD2_B8,LI,150,QUCO,Quercus coccinea,3,0,0,0
RPD2_B8,LI,151,QUCO,Quercus coccinea,3,0,0,0
RPD2_B8,LI,151,QUVE,Quercus velutina,1,0,0,0
RPD2_B8,LI,152,QUCO,Quercus coccinea,2,0,0,1
RPD2_B8,LI,153,QUCO,Quercus coccinea,1,1,0,0
RPD2_B8,LI,154,QUCO,Quercus coccinea,13,0,13,0
RPD2_B8,LI,155,PIRI,Pinus rigida,1,0,0,1
RPD2_B8,LI,156,QUCO,Quercus coccinea,1,0,0,0
RPD2_B8,LI,157,QUCO,Quercus coccinea,4,0,0,1
RPD2_B8,LI,158,QUVE,Quercus velutina,1,0,1,0
RPD2_B8,LI,159,QUCO,Quercus coccinea,50,0,0,13
RPD2_B8,LI,159,QUVE,Quercus velutina,3,0,0,0
RPD2_B7,LI,124,QUVE,Quercus velutina,1,0,0,0
RPD2_B7,LI,124,QUCO,Quercus coccinea,3,0,0,0
RPD2_B7,LI,125,QUCO,Quercus coccinea,2,0,0,0
RPD2_B7,LI,125,QUVE,Quercus velutina,2,2,0,0
RPD2_B7,LI,126,QUCO,Quercus coccinea,3,0,0,0
RPD2_B7,LI,127,NA,No species found,0,0,0,0
RPD2_B7,LI,128,NA,No species found,0,0,0,0
RPD2_B7,LI,129,QUCO,Quercus coccinea,6,0,0,0
