Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
TNCO_B1,NH,257,ACRU,Acer rubrum,4,0,0,0
TNCO_B1,NH,257,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_B1,NH,257,PIRI,Pinus rigida,2,1,0,0
TNCO_B1,NH,258,PIRI,Pinus rigida,3,0,0,0
TNCO_B1,NH,258,AMSP,Amelanchier spp.,5,0,5,0
TNCO_B1,NH,259,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_B1,NH,259,PIRI,Pinus rigida,1,0,0,0
TNCO_B1,NH,260,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_B1,NH,261,QUIL,Quercus ilicifolia,7,0,0,0
TNCO_B1,NH,262,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_B1,NH,263,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_B1,NH,264,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_B1,NH,264,ACRU,Acer rubrum,5,0,0,0
TNCO_B1,NH,265,QUIL,Quercus ilicifolia,16,0,0,0
TNCO_B1,NH,266,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_B1,NH,266,PIRI,Pinus rigida,1,0,0,0
TNCO_B1,NH,267,PIRI,Pinus rigida,6,4,0,0
TNCO_B1,NH,267,QUIL,Quercus ilicifolia,4,0,0,0
TNCO_B1,NH,268,QUIL,Quercus ilicifolia,9,0,0,0
TNCO_B1,NH,269,ACRU,Acer rubrum,53,53,53,0
TNCO_B1,NH,269,PIRI,Pinus rigida,2,1,0,0
TNCO_B1,NH,270,QUIL,Quercus ilicifolia,18,0,0,0
TNCO_B1,NH,270,PIRI,Pinus rigida,8,0,8,0
TNCO_B1,NH,271,QUIL,Quercus ilicifolia,23,0,0,0
TNCO_B1,NH,272,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_B1,NH,272,ACRU,Acer rubrum,2,1,2,0
TNCO_B1,NH,273,ACRU,Acer rubrum,1,0,0,0
TNCO_B1,NH,274,QUIL,Quercus ilicifolia,19,0,0,0
TNCO_B1,NH,275,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_B1,NH,276,QUIL,Quercus ilicifolia,7,0,0,0
TNCO_B1,NH,277,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_B1,NH,278,PIST,Pinus strobus,1,0,0,0
TNCO_B1,NH,278,PIRI,Pinus rigida,2,0,0,0
TNCO_B1,NH,278,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_B1,NH,279,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_B1,NH,280,PIRI,Pinus rigida,2,0,0,0
TNCO_B1,NH,280,QUIL,Quercus ilicifolia,17,0,0,0
Mashpee_B1,MA,369,QUIL,Quercus ilicifolia,18,0,0,0
Mashpee_B1,MA,370,QUIL,Quercus ilicifolia,3,0,0,0
Mashpee_B1,MA,371,QUIL,Quercus ilicifolia,14,0,0,0
Mashpee_B1,MA,372,NA,No species found,0,0,0,0
Mashpee_B1,MA,373,QUPR,Quercus prinoides,5,0,0,0
Mashpee_B1,MA,374,QUIL,Quercus ilicifolia,3,0,0,0
Mashpee_B1,MA,375,QUIL,Quercus ilicifolia,8,0,0,0
Mashpee_B1,MA,376,QUIL,Quercus ilicifolia,3,0,0,0
Mashpee_B1,MA,377,QUIL,Quercus ilicifolia,8,0,0,0
Mashpee_B1,MA,377,SAAL,Sassafras albidum,2,0,0,0
Mashpee_B1,MA,377,QUCO,Quercus coccinea,1,0,0,0
Mashpee_B1,MA,378,QUIL,Quercus ilicifolia,7,0,0,0
Mashpee_B1,MA,378,QUCO,Quercus coccinea,1,0,0,0
Mashpee_B1,MA,379,PIRI,Pinus rigida,3,0,0,0
Mashpee_B1,MA,380,PIRI,Pinus rigida,6,0,0,0
Mashpee_B1,MA,381,QUCO,Quercus coccinea,2,0,0,0
Mashpee_B1,MA,382,QUPR,Quercus prinoides,10,0,0,0
Mashpee_B1,MA,382,QUCO,Quercus coccinea,1,0,0,0
Mashpee_B1,MA,383,QUPR,Quercus prinoides,15,0,0,0
Mashpee_B1,MA,383,QUIL,Quercus ilicifolia,2,0,0,0
Mashpee_B1,MA,384,PIRI,Pinus rigida,8,0,0,4
Mashpee_B1,MA,384,QUIL,Quercus ilicifolia,3,0,0,0
Mashpee_B1,MA,385,PIRI,Pinus rigida,5,0,0,0
Mashpee_B1,MA,386,QUIL,Quercus ilicifolia,3,0,0,0
Mashpee_B1,MA,386,QUCO,Quercus coccinea,2,0,0,0
Mashpee_B1,MA,386,PIRI,Pinus rigida,1,0,0,0
Mashpee_B1,MA,387,PIRI,Pinus rigida,1,0,0,1
Mashpee_B1,MA,388,SAAL,Sassafras albidum,1,0,0,0
Mashpee_B1,MA,388,QUAL,Quercus alba,2,0,0,0
Mashpee_B1,MA,388,PIRI,Pinus rigida,2,0,0,0
Mashpee_B1,MA,389,ACRU,Acer rubrum,2,0,0,0
Mashpee_B1,MA,389,PIRI,Pinus rigida,1,0,0,0
Mashpee_B1,MA,389,QUAL,Quercus alba,1,0,0,0
Mashpee_B1,MA,390,SAAL,Sassafras albidum,3,0,3,0
Mashpee_B1,MA,390,ACRU,Acer rubrum,5,0,0,0
Mashpee_B1,MA,390,QUCO,Quercus coccinea,1,0,0,0
Mashpee_B1,MA,390,QUAL,Quercus alba,1,0,0,0
TNCO_Hobbs5,NH,980,PIRI,Pinus rigida,2,0,0,0
TNCO_Hobbs5,NH,979,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_Hobbs5,NH,978,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,977,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,976,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,975,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,974,QUIL,Quercus ilicifolia,2,0,0,0
TNCO_Hobbs5,NH,973,PIRI,Pinus rigida,3,0,0,0
TNCO_Hobbs5,NH,972,PIRI,Pinus rigida,2,2,0,0
TNCO_Hobbs5,NH,971,QUIL,Quercus ilicifolia,5,0,0,0
TNCO_Hobbs5,NH,970,ACRU,Acer rubrum,1,1,0,0
TNCO_Hobbs5,NH,970,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,969,ACRU,Acer rubrum,2,2,0,0
TNCO_Hobbs5,NH,968,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,968,PIRI,Pinus rigida,4,3,0,0
TNCO_Hobbs5,NH,967,QUIL,Quercus ilicifolia,3,0,0,0
TNCO_Hobbs5,NH,966,PIST,Pinus strobus,2,0,0,0
TNCO_Hobbs5,NH,965,PIRI,Pinus rigida,1,1,0,0
TNCO_Hobbs5,NH,965,ACRU,Acer rubrum,2,1,0,0
TNCO_Hobbs5,NH,964,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,964,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,964,PRSE,Prunus serotina,1,0,0,0
TNCO_Hobbs5,NH,963,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,963,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,962,NA,No species found,0,0,0,0
TNCO_Hobbs5,NH,961,PIRI,Pinus rigida,9,7,0,0
TNCO_Hobbs5,NH,960,ACRU,Acer rubrum,4,0,0,0
TNCO_Hobbs5,NH,960,PIRI,Pinus rigida,2,0,0,0
TNCO_Hobbs5,NH,960,QUIL,Quercus ilicifolia,1,0,0,0
TNCO_Hobbs5,NH,959,ACRU,Acer rubrum,1,0,0,0
TNCO_Hobbs5,NH,958,NA,No species found,0,0,0,0
SPNHF_Harmon,NH,1143,QUIL,Quercus ilicifolia,8,0,0,0
