Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
APB_Chubb_W,ALB,728,PIRI,Pinus rigida,2,0,0,0
APB_Chubb_W,ALB,727,NA,No species found,0,0,0,0
APB_Chubb_W,ALB,726,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_W,ALB,725,PIRI,Pinus rigida,9,3,0,1
APB_Chubb_W,ALB,725,PIST,Pinus strobus,1,0,0,1
APB_Chubb_W,ALB,725,ACRU,Acer rubrum,1,0,0,1
APB_Chubb_W,ALB,725,QUIL,Quercus ilicifolia,7,0,0,0
APB_Chubb_W,ALB,724,NA,No species found,0,0,0,0
APB_Chubb_W,ALB,723,PIRI,Pinus rigida,5,2,0,0
APB_Chubb_W,ALB,723,ACRU,Acer rubrum,1,0,0,0
APB_Chubb_W,ALB,723,ROPS,Robinia pseudoacacia,1,0,0,0
APB_Chubb_W,ALB,723,BELE,Betula lenta,2,1,0,1
APB_Chubb_W,ALB,722,BELE,Betula lenta,1,0,0,1
APB_Chubb_W,ALB,721,NA,No species found,0,0,0,0
APB_Chubb_W,ALB,720,QUIL,Quercus ilicifolia,4,0,0,0
APB_Chubb_W,ALB,720,ROPS,Robinia pseudoacacia,1,0,0,0
APB_Chubb_W,ALB,719,BELE,Betula lenta,5,0,0,0
APB_Chubb_W,ALB,719,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_W,ALB,718,QUIL,Quercus ilicifolia,9,0,0,0
APB_Chubb_W,ALB,717,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_W,ALB,716,PIRI,Pinus rigida,3,3,0,0
APB_Chubb_W,ALB,716,ROPS,Robinia pseudoacacia,2,0,0,0
APB_Chubb_W,ALB,716,FRAM,Fraxinus americana,1,0,0,0
APB_Chubb_W,ALB,716,ACRU,Acer rubrum,2,0,0,0
APB_Chubb_W,ALB,716,BELE,Betula lenta,1,0,1,0
APB_Chubb_W,ALB,716,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_W,ALB,716,PODE,Populus deltoides,1,0,0,0
APB_Chubb_W,ALB,715,PIRI,Pinus rigida,1,1,0,0
APB_Chubb_W,ALB,715,QUCO,Quercus coccinea,1,0,0,0
APB_Chubb_W,ALB,714,NA,No species found,0,0,0,0
APB_Chubb_W,ALB,713,QUIL,Quercus ilicifolia,2,0,0,0
APB_Chubb_W,ALB,712,PIRI,Pinus rigida,1,0,0,0
APB_Chubb_W,ALB,712,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_W,ALB,711,QUIL,Quercus ilicifolia,1,0,0,0
APB_Chubb_W,ALB,710,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_W,ALB,709,NA,No species found,0,0,0,0
APB_Chubb_W,ALB,708,PIRI,Pinus rigida,3,2,0,0
APB_Chubb_W,ALB,708,ACRU,Acer rubrum,3,0,0,1
APB_Chubb_W,ALB,708,PODE,Populus deltoides,2,0,0,0
APB_Chubb_W,ALB,708,QURU,Quercus rubra,2,0,0,0
APB_Chubb_W,ALB,708,BELE,Betula lenta,2,0,0,0
APB_Chubb_W,ALB,708,PRSE,Prunus serotina,1,0,0,0
APB_Chubb_W,ALB,707,PIRI,Pinus rigida,1,1,0,0
APB_Chubb_W,ALB,706,NA,No species found,0,0,0,0
APB_Dandy,ALB,842,QUPR,Quercus prinoides,14,0,0,0
APB_Dandy,ALB,842,AMSP,Amelanchier spp.,3,0,0,1
APB_Dandy,ALB,842,ACRU,Acer rubrum,2,0,0,0
APB_Dandy,ALB,842,MASP,Malus species,1,1,0,0
APB_Dandy,ALB,841,NA,No species found,0,0,0,0
APB_Dandy,ALB,840,QUPR,Quercus prinoides,10,0,0,0
APB_Dandy,ALB,840,PRSE,Prunus serotina,1,0,0,0
APB_Dandy,ALB,840,ACRU,Acer rubrum,1,1,0,0
APB_Dandy,ALB,839,PRSE,Prunus serotina,1,0,0,0
APB_Dandy,ALB,839,AMSP,Amelanchier spp.,5,1,0,0
APB_Dandy,ALB,839,QUPR,Quercus prinoides,9,0,0,0
APB_Dandy,ALB,838,NA,No species found,0,0,0,0
APB_Dandy,ALB,837,QUIL,Quercus ilicifolia,1,1,0,0
APB_Dandy,ALB,837,ACRU,Acer rubrum,1,0,0,1
APB_Dandy,ALB,836,QUIL,Quercus ilicifolia,2,0,0,0
APB_Dandy,ALB,836,PRSE,Prunus serotina,1,0,0,0
APB_Dandy,ALB,836,ACRU,Acer rubrum,6,1,0,3
APB_Dandy,ALB,835,QUPR,Quercus prinoides,4,0,0,0
APB_Dandy,ALB,835,ACRU,Acer rubrum,2,0,0,1
APB_Dandy,ALB,835,QUVE,Quercus velutina,1,0,0,1
APB_Dandy,ALB,834,QUPR,Quercus prinoides,5,0,0,0
APB_Dandy,ALB,833,QUIL,Quercus ilicifolia,1,0,0,0
APB_Dandy,ALB,832,ACRU,Acer rubrum,2,0,0,0
APB_Dandy,ALB,832,QUPR,Quercus prinoides,13,0,0,0
APB_Dandy,ALB,832,AMSP,Amelanchier spp.,2,1,0,0
APB_Dandy,ALB,831,QUPR,Quercus prinoides,1,0,0,0
APB_Dandy,ALB,830,QUIL,Quercus ilicifolia,5,0,0,1
APB_Dandy,ALB,830,ACRU,Acer rubrum,2,0,0,1
APB_Dandy,ALB,829,QUIL,Quercus ilicifolia,1,0,0,0
APB_Dandy,ALB,828,QUIL,Quercus ilicifolia,4,0,0,0
APB_Dandy,ALB,828,PIRI,Pinus rigida,1,0,0,1
APB_Dandy,ALB,827,QUPR,Quercus prinoides,1,0,0,0
APB_Dandy,ALB,827,QUIL,Quercus ilicifolia,3,0,0,0
APB_Dandy,ALB,826,PRSE,Prunus serotina,7,0,0,0
APB_Dandy,ALB,826,QUPR,Quercus prinoides,6,0,0,0
APB_Dandy,ALB,826,QUIL,Quercus ilicifolia,2,0,0,0
APB_Dandy,ALB,825,QUPR,Quercus prinoides,21,0,0,0
APB_Dandy,ALB,825,PRSE,Prunus serotina,1,0,0,0
APB_Dandy,ALB,824,PIRI,Pinus rigida,1,0,0,0
APB_Dandy,ALB,824,ACRU,Acer rubrum,5,0,0,5
