Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
RPD2_B1,LI,196,QUCO,Quercus coccinea,6,0,0,0
RPD2_B1,LI,197,PIRI,Pinus rigida,1,0,0,0
RPD2_B1,LI,198,NA,No species found,0,0,0,0
RPD2_B1,LI,199,QUCO,Quercus coccinea,1,0,0,0
RPD2_B1,LI,200,PIRI,Pinus rigida,3,0,0,3
RPD2_B1,LI,200,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B1,LI,200,QUCO,Quercus coccinea,1,0,0,0
RPD2_B1,LI,200,QUAL,Quercus alba,9,0,0,0
RPD2_B1,LI,201,QUIL,Quercus ilicifolia,4,0,0,0
RPD2_B1,LI,201,QUCO,Quercus coccinea,1,0,0,0
RPD2_B1,LI,202,QUIL,Quercus ilicifolia,8,0,0,0
RPD2_B1,LI,202,QUAL,Quercus alba,1,0,0,0
RPD2_B1,LI,202,QUCO,Quercus coccinea,2,0,0,0
RPD2_B1,LI,203,NA,No species found,0,0,0,0
RPD2_B1,LI,204,NA,No species found,0,0,0,0
RPD2_B1,LI,205,QUAL,Quercus alba,1,0,0,0
RPD2_B1,LI,205,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B1,LI,206,PIRI,Pinus rigida,5,0,0,3
RPD2_B1,LI,206,QUAL,Quercus alba,1,0,0,0
RPD2_B1,LI,207,PIRI,Pinus rigida,1,0,0,0
RPD2_B1,LI,208,QUCO,Quercus coccinea,1,0,0,0
RPD2_B1,LI,209,PIRI,Pinus rigida,3,0,0,3
RPD2_B1,LI,210,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B1,LI,210,PIRI,Pinus rigida,1,0,0,1
RPD2_B1,LI,211,QUCO,Quercus coccinea,2,0,0,0
RPD2_B1,LI,211,PIRI,Pinus rigida,3,0,0,3
RPD2_B1,LI,211,BESP,Betula species,1,0,0,0
RPD2_B1,LI,212,PIRI,Pinus rigida,2,0,0,2
RPD2_B1,LI,213,PIRI,Pinus rigida,2,0,0,2
RPD2_B1,LI,213,QUCO,Quercus coccinea,1,0,0,0
RPD2_B6,LI,196,QUIL,Quercus ilicifolia,3,0,0,0
RPD2_B6,LI,196,QUAL,Quercus alba,2,0,0,0
RPD2_B6,LI,170,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,171,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,172,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B6,LI,173,QUAL,Quercus alba,11,0,11,0
RPD2_B6,LI,174,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,175,PIRI,Pinus rigida,4,0,0,2
RPD2_B6,LI,175,QUAL,Quercus alba,13,0,0,0
RPD2_B6,LI,175,QUCO,Quercus coccinea,1,0,0,0
RPD2_B6,LI,176,PIRI,Pinus rigida,2,0,0,2
RPD2_B6,LI,177,QUCO,Quercus coccinea,3,0,0,0
RPD2_B6,LI,178,PIRI,Pinus rigida,4,0,0,0
RPD2_B6,LI,179,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B6,LI,179,QUAL,Quercus alba,1,0,0,0
RPD2_B6,LI,179,PIRI,Pinus rigida,2,0,0,2
RPD2_B6,LI,180,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,180,QUCO,Quercus coccinea,1,0,0,0
RPD2_B6,LI,181,QUCO,Quercus coccinea,1,0,0,0
RPD2_B6,LI,181,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,181,QUIL,Quercus ilicifolia,9,0,0,0
RPD2_B6,LI,182,PIRI,Pinus rigida,1,0,0,1
RPD2_B6,LI,183,PIRI,Pinus rigida,2,0,1,0
RPD2_B6,LI,183,QUIL,Quercus ilicifolia,4,0,0,0
RPD2_B6,LI,184,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B6,LI,185,PIRI,Pinus rigida,5,0,0,3
RPD2_B6,LI,185,QUCO,Quercus coccinea,4,0,2,0
RPD2_B6,LI,186,PIRI,Pinus rigida,1,0,0,1
RPD2_B5,LI,160,QUAL,Quercus alba,5,0,0,0
RPD2_B5,LI,160,QUIL,Quercus ilicifolia,9,0,0,0
RPD2_B5,LI,160,QUCO,Quercus coccinea,5,0,0,0
RPD2_B5,LI,161,PIRI,Pinus rigida,3,0,0,3
RPD2_B5,LI,161,QUAL,Quercus alba,1,0,0,0
RPD2_B5,LI,162,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B5,LI,162,QUCO,Quercus coccinea,4,1,0,0
RPD2_B5,LI,162,QUAL,Quercus alba,3,3,0,0
RPD2_B5,LI,163,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B5,LI,164,PIRI,Pinus rigida,2,0,0,2
RPD2_B5,LI,165,QUAL,Quercus alba,1,0,0,1
RPD2_B5,LI,166,PIRI,Pinus rigida,1,0,0,1
RPD2_B5,LI,167,QUCO,Quercus coccinea,3,0,3,0
RPD2_B5,LI,168,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B5,LI,168,PIRI,Pinus rigida,1,0,0,1
APB_Hoffman,ALB,911,NA,No species found,0,0,0,0
APB_Hoffman,ALB,910,QUVE,Quercus velutina,1,0,0,0
APB_Hoffman,ALB,909,NA,No species found,0,0,0,0
APB_Hoffman,ALB,908,PIRI,Pinus rigida,4,2,0,1
APB_Hoffman,ALB,908,PRSE,Prunus serotina,1,0,0,0
APB_Hoffman,ALB,907,QUCO,Quercus coccinea,2,0,0,0
APB_Hoffman,ALB,906,NA,No species found,0,0,0,0
APB_Hoffman,ALB,905,ACRU,Acer rubrum,1,0,0,0
APB_Hoffman,ALB,904,PIRI,Pinus rigida,6,0,0,0
APB_Hoffman,ALB,904,FRAL,Frangula alnus,1,0,0,0
APB_Hoffman,ALB,904,ACRU,Acer rubrum,1,0,0,0
APB_Hoffman,ALB,903,NA,No species found,0,0,0,0
APB_Hoffman,ALB,902,NA,No species found,0,0,0,0
APB_Hoffman,ALB,901,QUCO,Quercus coccinea,2,0,0,0
APB_Hoffman,ALB,901,ACRU,Acer rubrum,1,0,0,0
APB_Hoffman,ALB,900,PIRI,Pinus rigida,6,1,0,0
APB_Hoffman,ALB,900,PRSE,Prunus serotina,1,0,0,0
APB_Hoffman,ALB,899,QUCO,Quercus coccinea,8,0,0,0
APB_Hoffman,ALB,899,PRSE,Prunus serotina,1,0,0,0
APB_Hoffman,ALB,898,NA,No species found,0,0,0,0
APB_Hoffman,ALB,897,NA,No species found,0,0,0,0
APB_Hoffman,ALB,896,ACRU,Acer rubrum,1,0,0,0
APB_Hoffman,ALB,895,NA,No species found,0,0,0,0
APB_Hoffman,ALB,894,NA,No species found,0,0,0,0
APB_Hoffman,ALB,893,NA,No species found,0,0,0,0
APB_Hoffman,ALB,892,NA,No species found,0,0,0,0
APB_Hoffman,ALB,891,NA,No species found,0,0,0,0
APB_Hoffman,ALB,890,NA,No species found,0,0,0,0
APB_Hoffman,ALB,889,POTR,Populus tremuloides,2,0,0,0
APB_Hoffman,ALB,889,PIRI,Pinus rigida,6,5,0,0
APB_Hoffman,ALB,889,QUCO,Quercus coccinea,2,0,0,0
APB_HuckMound,ALB,795,QUPR,Quercus prinoides,2,0,0,0
APB_HuckMound,ALB,794,QUIL,Quercus ilicifolia,1,0,0,0
APB_HuckMound,ALB,793,SAAL,Sassafras albidum,2,0,0,0
