Site ,Region,Plot_No,Species_Code,Latin_Name,Total,Browsed,StumpSprout,Germinate
RPD2_B4,LI,106,QUAL,Quercus alba,1,0,0,0
RPD2_B4,LI,107,QUCO,Quercus coccinea,1,0,0,0
RPD2_B4,LI,108,NA,No species found,0,0,0,0
RPD2_B4,LI,109,QUCO,Quercus coccinea,1,0,0,0
RPD2_B4,LI,110,NA,No species found,0,0,0,0
RPD2_B4,LI,111,QUCO,Quercus coccinea,4,0,0,0
RPD2_B4,LI,111,QUAL,Quercus alba,1,0,0,0
RPD2_B4,LI,112,PIRI,Pinus rigida,4,0,0,0
RPD2_B4,LI,112,QUAL,Quercus alba,1,0,0,0
RPD2_B4,LI,113,QUCO,Quercus coccinea,1,0,0,0
RPD2_B4,LI,114,QUCO,Quercus coccinea,1,0,0,0
RPD2_B4,LI,115,PIRI,Pinus rigida,1,0,0,0
RPD2_B4,LI,116,QUCO,Quercus coccinea,3,0,0,0
RPD2_B4,LI,117,NA,No species found,0,0,0,0
RPD2_B4,LI,118,QUCO,Quercus coccinea,3,0,0,0
RPD2_B4,LI,119,NA,No species found,0,0,0,0
RPD2_B4,LI,120,PIRI,Pinus rigida,1,0,0,0
RPD2_B4,LI,120,QUAL,Quercus alba,1,0,0,0
RPD2_B4,LI,121,NA,No species found,0,0,0,0
RPD2_B4,LI,122,QUIL,Quercus ilicifolia,5,0,0,0
RPD2_B4,LI,123,NA,No species found,0,0,0,0
RPD2_B2,LI,70,PIRI,Pinus rigida,3,0,0,3
RPD2_B2,LI,70,SAAL,Sassafras albidum,1,0,0,1
RPD2_B2,LI,71,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B2,LI,71,PIRI,Pinus rigida,4,0,0,0
RPD2_B2,LI,72,PIRI,Pinus rigida,1,0,0,0
RPD2_B2,LI,73,QUAL,Quercus alba,1,0,0,0
RPD2_B2,LI,73,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,73,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B2,LI,73,AMSP,Amelanchier spp.,1,0,0,0
RPD2_B2,LI,74,QUAL,Quercus alba,1,0,0,0
RPD2_B2,LI,75,PIRI,Pinus rigida,3,2,0,1
RPD2_B2,LI,76,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,76,PIRI,Pinus rigida,1,0,0,0
RPD2_B2,LI,77,PIRI,Pinus rigida,1,0,0,0
RPD2_B2,LI,77,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,77,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B2,LI,78,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,79,PIRI,Pinus rigida,1,0,0,0
RPD2_B2,LI,80,QUIL,Quercus ilicifolia,9,0,0,0
RPD2_B2,LI,81,QUAL,Quercus alba,2,0,2,0
RPD2_B2,LI,81,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,82,SAAL,Sassafras albidum,1,0,0,0
RPD2_B2,LI,82,QUAL,Quercus alba,1,0,0,0
RPD2_B2,LI,82,PIRI,Pinus rigida,3,0,0,0
RPD2_B2,LI,83,QUIL,Quercus ilicifolia,3,0,0,0
RPD2_B2,LI,84,QUVE,Quercus velutina,1,0,0,0
RPD2_B2,LI,84,QUCO,Quercus coccinea,1,0,0,0
RPD2_B2,LI,85,QUIL,Quercus ilicifolia,4,0,0,0
RPD2_B2,LI,85,QUCO,Quercus coccinea,2,0,0,0
RPD2_B2,LI,86,QUCO,Quercus coccinea,3,0,0,1
RPD2_B2,LI,86,QUIL,Quercus ilicifolia,2,0,0,0
RPD2_B2,LI,87,ACRU,Acer rubrum,1,0,0,0
RPD2_B9,LI,187,QUIL,Quercus ilicifolia,3,0,0,0
RPD2_B9,LI,187,PIRI,Pinus rigida,1,0,0,0
RPD2_B9,LI,188,PIRI,Pinus rigida,5,0,0,0
RPD2_B9,LI,188,QUAL,Quercus alba,1,0,0,0
RPD2_B9,LI,189,QUIL,Quercus ilicifolia,1,0,0,0
RPD2_B9,LI,189,QUVE,Quercus velutina,2,0,0,0
RPD2_B9,LI,190,PIRI,Pinus rigida,1,0,0,0
RPD2_B9,LI,191,QUCO,Quercus coccinea,2,0,0,0
RPD2_B9,LI,192,QUIL,Quercus ilicifolia,3,0,0,0
RPD2_B9,LI,193,QUIL,Quercus ilicifolia,4,0,0,0
RPD2_B9,LI,194,PIRI,Pinus rigida,1,0,0,0
RPD2_B9,LI,195,QUCO,Quercus coccinea,2,0,0,1
Maspee_G3,MA,329,QUIL,Quercus ilicifolia,2,0,0,0
Maspee_G3,MA,330,NA,No species found,0,0,0,0
Maspee_G3,MA,331,NA,No species found,0,0,0,0
Maspee_G3,MA,332,NA,No species found,0,0,0,0
Maspee_G3,MA,333,QUIL,Quercus ilicifolia,4,0,0,0
Maspee_G3,MA,333,QUCO,Quercus coccinea,4,0,0,0
