Site,Region,Plot#,Species_Code,Latin_Name,SP_Total_Cover
TNCO_ESDB2,NH,281,GAPR,Gaultheria procumbens,4
TNCO_ESDB2,NH,281,VAAN,Vaccinium angustifolium,3
TNCO_ESDB2,NH,281,QUIL,Quercus ilicifolia,3
TNCO_ESDB2,NH,281,PTAQ,Pteridium aquilinum,4
TNCO_ESDB2,NH,281,CAPE,Carex pensylvanica,1
TNCO_ESDB2,NH,283,VAAN,Vaccinium angustifolium,5
TNCO_ESDB2,NH,283,CAPE,Carex pensylvanica,3
TNCO_ESDB2,NH,283,PTAQ,Pteridium aquilinum,4
TNCO_ESDB2,NH,283,GAPR,Gaultheria procumbens,3
TNCO_ESDB2,NH,285,VAAN,Vaccinium angustifolium,3
TNCO_ESDB2,NH,285,GAPR,Gaultheria procumbens,3
TNCO_ESDB2,NH,285,PTAQ,Pteridium aquilinum,3
TNCO_ESDB2,NH,285,QUIL,Quercus ilicifolia,5
TNCO_ESDB2,NH,285,CAPE,Carex pensylvanica,3
TNCO_ESDB2,NH,287,VAAN,Vaccinium angustifolium,3
TNCO_ESDB2,NH,287,CAPE,Carex pensylvanica,2
TNCO_ESDB2,NH,287,GAPR,Gaultheria procumbens,1
TNCO_ESDB2,NH,287,QUIL,Quercus ilicifolia,3
TNCO_ESDB2,NH,287,POUN8,Poacaea sp. 8,2
TNCO_ESDB2,NH,289,VAAN,Vaccinium angustifolium,4
TNCO_ESDB2,NH,289,QUIL,Quercus ilicifolia,4
TNCO_ESDB2,NH,289,CAPE,Carex pensylvanica,2
TNCO_ESDB2,NH,291,VAAN,Vaccinium angustifolium,5
TNCO_ESDB2,NH,291,PTAQ,Pteridium aquilinum,4
TNCO_ESDB2,NH,291,QUIL,Quercus ilicifolia,3
TNCO_ESDB2,NH,291,GAPR,Gaultheria procumbens,4
TNCO_ESDB2,NH,291,CAPE,Carex pensylvanica,2
TNCO_ESDB2,NH,293,VAAN,Vaccinium angustifolium,5
TNCO_ESDB2,NH,293,PTAQ,Pteridium aquilinum,3
TNCO_ESDB2,NH,293,GAPR,Gaultheria procumbens,4
TNCO_ESDB2,NH,293,ARME,Aronia melanocarpa,1
TNCO_ESDB2,NH,293,CAPE,Carex pensylvanica,2
