Site,Region,Plot#,Species_Code,Latin_Name,SP_Total_Cover
RPD2_B1,LI,196,QUCO,Quercus coccinea,7
RPD2_B1,LI,196,GABA,Gaylussacia baccata,2
RPD2_B1,LI,196,VAPA,Vaccinium pallidum,1
RPD2_B1,LI,198,VAPA,Vaccinium pallidum,3
RPD2_B1,LI,198,LYMA,Lyonia mariana,4
RPD2_B1,LI,198,GABA,Gaylussacia baccata,4
RPD2_B1,LI,200,VAPA,Vaccinium pallidum,5
RPD2_B1,LI,200,LYMA,Lyonia mariana,3
RPD2_B1,LI,200,QUAL,Quercus alba,3
RPD2_B1,LI,200,QUIL,Quercus ilicifolia,4
RPD2_B1,LI,200,QUCO,Quercus coccinea,1
RPD2_B1,LI,200,PIRI,Pinus rigida,1
RPD2_B1,LI,202,QUIL,Quercus ilicifolia,5
RPD2_B1,LI,202,QUCO,Quercus coccinea,3
RPD2_B1,LI,202,QUAL,Quercus alba,2
RPD2_B1,LI,202,GABA,Gaylussacia baccata,4
RPD2_B1,LI,202,VAPA,Vaccinium pallidum,2
RPD2_B1,LI,204,GABA,Gaylussacia baccata,3
RPD2_B1,LI,204,VAPA,Vaccinium pallidum,3
RPD2_B1,LI,206,PIRI,Pinus rigida,1
RPD2_B1,LI,206,GABA,Gaylussacia baccata,3
RPD2_B1,LI,206,VAPA,Vaccinium pallidum,3
RPD2_B1,LI,206,CAUN2,Carex sp.,2
RPD2_B1,LI,206,QUAL,Quercus alba,1
RPD2_B1,LI,206,DISp1,Dichanthelium sp.,2
RPD2_B1,LI,208,QUCO,Quercus coccinea,3
RPD2_B1,LI,208,COPE,Comptonia peregrina,6
RPD2_B1,LI,208,GABA,Gaylussacia baccata,4
RPD2_B1,LI,208,VAPA,Vaccinium pallidum,2
RPD2_B1,LI,208,CAPE,Carex pensylvanica,2
RPD2_B1,LI,208,POUN3,Poaceae sp. 3,2
RPD2_B1,LI,208,DISp2,Dichanthelium sp.,1
RPD2_B1,LI,208,APAN,Apocynum androsaemifolium,2
RPD2_B1,LI,210,PIRI,Pinus rigida,1
RPD2_B1,LI,210,QUIL,Quercus ilicifolia,3
RPD2_B1,LI,210,VAPA,Vaccinium pallidum,5
RPD2_B1,LI,210,LYMA,Lyonia mariana,3
RPD2_B1,LI,210,PTAQ,Pteridium aquilinum,2
RPD2_B1,LI,212,PIRI,Pinus rigida,1
RPD2_B1,LI,212,VAPA,Vaccinium pallidum,5
RPD2_B1,LI,212,GABA,Gaylussacia baccata,4
RPD2_B6,LI,169,QUIL,Quercus ilicifolia,4
RPD2_B6,LI,169,QUAL,Quercus alba,2
RPD2_B6,LI,169,VAPA,Vaccinium pallidum,2
RPD2_B6,LI,169,GABA,Gaylussacia baccata,3
RPD2_B6,LI,169,LYMA,Lyonia mariana,4
RPD2_B6,LI,169,QUCO,Quercus coccinea,4
RPD2_B6,LI,171,GABA,Gaylussacia baccata,4
RPD2_B6,LI,171,VAPA,Vaccinium pallidum,5
RPD2_B6,LI,171,PIRI,Pinus rigida,1
RPD2_B6,LI,171,COPE,Comptonia peregrina,4
RPD2_B6,LI,173,VAPA,Vaccinium pallidum,3
RPD2_B6,LI,173,QUAL,Quercus alba,8
RPD2_B6,LI,173,PHAM,Phytolacca americana,1
RPD2_B6,LI,173,COPE,Comptonia peregrina,1
RPD2_B6,LI,173,DISp1,Dichanthelium sp.,1
RPD2_B6,LI,173,POUN7,Poacaea sp. 7,1
RPD2_B6,LI,175,ERHI,Erechtites hieracilfolius,2
RPD2_B6,LI,175,QUAL,Quercus alba,4
RPD2_B6,LI,175,QUCO,Quercus coccinea,4
