Site,Region,Plot#,Species_Code,Latin_Name,SP_Total_Cover
APB_Humdinger,ALB,705,FRAL,Frangula alnus,2
APB_Humdinger,ALB,705,PRVI,Prunus virginiana,2
APB_Humdinger,ALB,705,PRSE,Prunus serotina,2
APB_Humdinger,ALB,705,RUSP,Rubus species,4
APB_Humdinger,ALB,703,PRSE,Prunus serotina,2
APB_Humdinger,ALB,703,QUIL,Quercus ilicifolia,7
APB_Humdinger,ALB,703,RUSP,Rubus species,5
APB_Humdinger,ALB,703,CAPE,Carex pensylvanica,2
APB_Humdinger,ALB,703,POUN12,Poacaea sp. 12,2
APB_Humdinger,ALB,703,CEOR,Celastrus orbiculatus,1
APB_Humdinger,ALB,701,RHHI,Rhus hirta,3
APB_Humdinger,ALB,701,RUSP,Rubus species,4
APB_Humdinger,ALB,701,RHGL,Rhus glabra,3
APB_Humdinger,ALB,701,POUN11,Poacaea sp. 11,3
APB_Humdinger,ALB,701,POUN12,Poacaea sp. 12,2
APB_Humdinger,ALB,701,CEOR,Celastrus orbiculatus,2
APB_Humdinger,ALB,701,CEAM,Ceanothus americanus,2
APB_Humdinger,ALB,699,FRSP,Fragaria species,1
APB_Humdinger,ALB,699,RUSP,Rubus species,5
APB_Humdinger,ALB,699,COSP,Cornus species,1
APB_Humdinger,ALB,699,PRSE,Prunus serotina,2
APB_Humdinger,ALB,699,POUN11,Poacaea sp. 11,3
APB_Humdinger,ALB,699,CAPE,Carex pensylvanica,2
APB_Humdinger,ALB,699,LYQU,Lysimachia quadrifolia,1
APB_Humdinger,ALB,697,FRSP,Fragaria species,3
APB_Humdinger,ALB,697,RUSP,Rubus species,3
APB_Humdinger,ALB,697,CEOR,Celastrus orbiculatus,3
APB_Humdinger,ALB,697,POUN11,Poacaea sp. 11,2
APB_Humdinger,ALB,697,POGR,Populus grandidentata,4
APB_Humdinger,ALB,697,RHHI,Rhus hirta,2
APB_Humdinger,ALB,697,CEAM,Ceanothus americanus,1
APB_Humdinger,ALB,697,PRVI,Prunus virginiana,2
APB_Humdinger,ALB,697,PRSE,Prunus serotina,2
APB_Humdinger,ALB,695,PRSE,Prunus serotina,2
APB_Humdinger,ALB,695,QUVE,Quercus velutina,2
APB_Humdinger,ALB,695,FRSP,Fragaria species,3
APB_Humdinger,ALB,695,RHGL,Rhus glabra,2
APB_Humdinger,ALB,695,RHHI,Rhus hirta,2
APB_Humdinger,ALB,695,CEAM,Ceanothus americanus,4
APB_Humdinger,ALB,695,RUSP,Rubus species,4
APB_Humdinger,ALB,695,LOSP,Lonicera sp.,2
APB_Humdinger,ALB,695,POUN11,Poacaea sp. 11,2
APB_Humdinger,ALB,695,CAPE,Carex pensylvanica,2
APB_Humdinger,ALB,695,CEOR,Celastrus orbiculatus,3
APB_Humdinger,ALB,693,RUSP,Rubus species,4
APB_Humdinger,ALB,693,SWAL,Swida alternifolia,4
APB_Humdinger,ALB,693,CEOR,Celastrus orbiculatus,3
APB_Humdinger,ALB,693,FRSP,Fragaria species,3
APB_Humdinger,ALB,693,CEAM,Ceanothus americanus,2
APB_Humdinger,ALB,693,CAPE,Carex pensylvanica,1
APB_Humdinger,ALB,693,RHGL,Rhus glabra,1
APB_Humdinger,ALB,693,POUN11,Poacaea sp. 11,1
APB_Humdinger,ALB,691,QUCO,Quercus coccinea,4
APB_Humdinger,ALB,691,PRSE,Prunus serotina,3
APB_Humdinger,ALB,691,CEOR,Celastrus orbiculatus,2
APB_Humdinger,ALB,691,POUN10,Poacaea sp. 10,3
APB_Humdinger,ALB,691,CEAM,Ceanothus americanus,3
APB_Humdinger,ALB,691,PAQU,Parthenocissus quinquefolia,3
APB_Humdinger,ALB,691,RUSP,Rubus species,4
APB_Humdinger,ALB,691,CAPE,Carex pensylvanica,3
APB_Humdinger,ALB,691,FRSP,Fragaria species,2
APB_Humdinger,ALB,691,VIRI,Vistis riparia,1
APB_Humdinger,ALB,691,RHGL,Rhus glabra,1
APB_Humdinger,ALB,689,QUIL,Quercus ilicifolia,7
APB_Humdinger,ALB,689,CYLU,Cyperus lupulinus,1
APB_Humdinger,ALB,689,POUN11,Poacaea sp. 11,1
APB_Humdinger,ALB,689,PTAQ,Pteridium aquilinum,2
APB_Humdinger,ALB,689,LOSP,Lonicera sp.,1
APB_Humdinger,ALB,687,POUN11,Poacaea sp. 11,3
APB_Humdinger,ALB,687,RUSP,Rubus species,4
APB_Humdinger,ALB,687,CEAM,Ceanothus americanus,2
APB_Humdinger,ALB,687,RHGL,Rhus glabra,2
APB_Humdinger,ALB,687,PTAQ,Pteridium aquilinum,3
APB_Humdinger,ALB,685,QUPR,Quercus prinoides,6
APB_Humdinger,ALB,685,RUSP,Rubus species,4
APB_Humdinger,ALB,685,RHGL,Rhus glabra,3
APB_Humdinger,ALB,685,CAPE,Carex pensylvanica,4
APB_Humdinger,ALB,685,ASSP10,Aster species 10,3
APB_Humdinger,ALB,685,CEAM,Ceanothus americanus,2
APB_Humdinger,ALB,685,POUN10,Poacaea sp. 10,2
APB_Humdinger,ALB,683,RUSP,Rubus species,4
APB_Humdinger,ALB,683,RHGL,Rhus glabra,2
APB_Humdinger,ALB,683,PRSE,Prunus serotina,3
APB_Humdinger,ALB,683,FRSP,Fragaria species,3
APB_Humdinger,ALB,683,SWAL,Swida alternifolia,6
APB_Humdinger,ALB,683,PAQU,Parthenocissus quinquefolia,3
APB_Bivy,ALB,750,PODE,Populus deltoides,2
APB_Bivy,ALB,750,RHGL,Rhus glabra,3
APB_Bivy,ALB,750,CEAM,Ceanothus americanus,5
APB_Bivy,ALB,750,CAPE,Carex pensylvanica,4
APB_Bivy,ALB,750,RUSP,Rubus species,4
APB_Bivy,ALB,750,QUIL,Quercus ilicifolia,1
APB_Bivy,ALB,750,SOUN2,Solidago unknown 2,4
APB_Bivy,ALB,750,ROCA,Rosa carolina,2
APB_Bivy,ALB,750,PTAQ,Pteridium aquilinum,3
APB_Bivy,ALB,750,LYQU,Lysimachia quadrifolia,2
APB_Bivy,ALB,750,MELI,Melampyrum lineare,2
APB_Bivy,ALB,750,HISP1,Hieracium species 1,1
APB_Bivy,ALB,750,POUN13,Poacaea sp. 13,2
APB_Bivy,ALB,748,QUPR,Quercus prinoides,4
APB_Bivy,ALB,748,QUIL,Quercus ilicifolia,2
APB_Bivy,ALB,748,COPE,Comptonia peregrina,4
APB_Bivy,ALB,748,CEAM,Ceanothus americanus,4
