Site,Region,Plot#,Species_Code,Latin_Name,SP_Total_Cover
RPD2_B4,LI,106,QUAL,Quercus alba,2
RPD2_B4,LI,106,GABA,Gaylussacia baccata,6
RPD2_B4,LI,106,VAPA,Vaccinium pallidum,3
RPD2_B4,LI,106,SMGL,Smilax glauca,2
RPD2_B4,LI,108,GABA,Gaylussacia baccata,5
RPD2_B4,LI,108,VAPA,Vaccinium pallidum,5
RPD2_B4,LI,110,GABA,Gaylussacia baccata,5
RPD2_B4,LI,110,VAPA,Vaccinium pallidum,2
RPD2_B4,LI,110,SMGL,Smilax glauca,2
RPD2_B4,LI,112,PIRI,Pinus rigida,1
RPD2_B4,LI,112,QUAL,Quercus alba,1
RPD2_B4,LI,112,GABA,Gaylussacia baccata,3
RPD2_B4,LI,112,VAPA,Vaccinium pallidum,3
RPD2_B4,LI,112,PTAQ,Pteridium aquilinum,2
RPD2_B4,LI,112,LYMA,Lyonia mariana,2
RPD2_B4,LI,114,QUCO,Quercus coccinea,4
RPD2_B4,LI,114,GABA,Gaylussacia baccata,4
RPD2_B4,LI,114,VAPA,Vaccinium pallidum,6
RPD2_B4,LI,114,SMGL,Smilax glauca,2
RPD2_B4,LI,116,QUCO,Quercus coccinea,5
RPD2_B4,LI,116,GABA,Gaylussacia baccata,3
RPD2_B4,LI,116,VAPA,Vaccinium pallidum,6
RPD2_B4,LI,116,PTAQ,Pteridium aquilinum,3
RPD2_B4,LI,116,LYMA,Lyonia mariana,2
RPD2_B4,LI,118,QUCO,Quercus coccinea,2
RPD2_B4,LI,118,GABA,Gaylussacia baccata,4
RPD2_B4,LI,118,VAPA,Vaccinium pallidum,4
RPD2_B4,LI,118,LYMA,Lyonia mariana,2
RPD2_B4,LI,118,SMGL,Smilax glauca,2
RPD2_B4,LI,120,PIRI,Pinus rigida,1
RPD2_B4,LI,120,QUAL,Quercus alba,2
RPD2_B4,LI,120,GABA,Gaylussacia baccata,5
RPD2_B4,LI,120,VAPA,Vaccinium pallidum,5
RPD2_B4,LI,122,QUIL,Quercus ilicifolia,2
RPD2_B4,LI,122,GABA,Gaylussacia baccata,2
RPD2_B4,LI,122,VAPA,Vaccinium pallidum,2
RPD2_B4,LI,122,PTAQ,Pteridium aquilinum,2
RPD2_B4,LI,122,SMGL,Smilax glauca,2
RPD2_B2,LI,70,PIRI,Pinus rigida,1
RPD2_B2,LI,70,SAAL,Sassafras albidum,1
RPD2_B2,LI,70,GABA,Gaylussacia baccata,6
RPD2_B2,LI,70,PTAQ,Pteridium aquilinum,2
RPD2_B2,LI,70,VAPA,Vaccinium pallidum,2
RPD2_B2,LI,72,PIRI,Pinus rigida,1
RPD2_B2,LI,72,SMGL,Smilax glauca,1
RPD2_B2,LI,72,VAPA,Vaccinium pallidum,3
RPD2_B2,LI,72,GABA,Gaylussacia baccata,4
RPD2_B2,LI,72,PTAQ,Pteridium aquilinum,2
RPD2_B2,LI,74,QUAL,Quercus alba,3
RPD2_B2,LI,74,QUIL,Quercus ilicifolia,4
RPD2_B2,LI,74,VAPA,Vaccinium pallidum,3
RPD2_B2,LI,74,SMGL,Smilax glauca,1
RPD2_B2,LI,74,PTAQ,Pteridium aquilinum,2
RPD2_B2,LI,76,PIRI,Pinus rigida,1
RPD2_B2,LI,76,QUCO,Quercus coccinea,1
RPD2_B2,LI,76,QUIL,Quercus ilicifolia,8
RPD2_B2,LI,76,VAPA,Vaccinium pallidum,5
RPD2_B2,LI,75,GABA,Gaylussacia baccata,2
RPD2_B2,LI,76,LYMA,Lyonia mariana,2
RPD2_B2,LI,78,QUCO,Quercus coccinea,1
RPD2_B2,LI,78,QUAL,Quercus alba,5
RPD2_B2,LI,78,VAPA,Vaccinium pallidum,4
RPD2_B2,LI,78,GABA,Gaylussacia baccata,4
RPD2_B2,LI,78,SMGL,Smilax glauca,2
RPD2_B2,LI,80,QUIL,Quercus ilicifolia,4
RPD2_B2,LI,80,GABA,Gaylussacia baccata,3
RPD2_B2,LI,80,VAPA,Vaccinium pallidum,4
RPD2_B2,LI,82,CAPE,Carex pensylvanica,4
RPD2_B2,LI,82,PTAQ,Pteridium aquilinum,2
RPD2_B2,LI,82,PIRI,Pinus rigida,1
RPD2_B2,LI,82,SAAL,Sassafras albidum,1
RPD2_B2,LI,82,GABA,Gaylussacia baccata,2
RPD2_B2,LI,82,SMGL,Smilax glauca,1
RPD2_B2,LI,82,QUAL,Quercus alba,2
RPD2_B2,LI,84,QUVE,Quercus velutina,2
RPD2_B2,LI,84,QUCO,Quercus coccinea,1
RPD2_B2,LI,84,QUIL,Quercus ilicifolia,4
RPD2_B2,LI,84,GABA,Gaylussacia baccata,3
RPD2_B2,LI,84,VAPA,Vaccinium pallidum,3
RPD2_B2,LI,84,PTAQ,Pteridium aquilinum,1
RPD2_B2,LI,84,MELI,Melampyrum lineare,1
RPD2_B2,LI,84,SMGL,Smilax glauca,2
RPD2_B2,LI,86,GABA,Gaylussacia baccata,4
RPD2_B2,LI,86,QUIL,Quercus ilicifolia,3
RPD2_B2,LI,86,QUCO,Quercus coccinea,3
RPD2_B2,LI,86,SMGL,Smilax glauca,1
RPD2_B2,LI,86,VAPA,Vaccinium pallidum,2
RPD2_B9,LI,187,QUIL,Quercus ilicifolia,4
RPD2_B9,LI,187,VAPA,Vaccinium pallidum,3
RPD2_B9,LI,187,PIRI,Pinus rigida,1
RPD2_B9,LI,187,GABA,Gaylussacia baccata,4
RPD2_B9,LI,189,QUIL,Quercus ilicifolia,4
RPD2_B9,LI,189,QUVE,Quercus velutina,2
RPD2_B9,LI,189,VAPA,Vaccinium pallidum,5
RPD2_B9,LI,191,QUCO,Quercus coccinea,2
RPD2_B9,LI,191,QUIL,Quercus ilicifolia,6
RPD2_B9,LI,191,GABA,Gaylussacia baccata,5
RPD2_B9,LI,191,VAPA,Vaccinium pallidum,3
RPD2_B9,LI,193,QUIL,Quercus ilicifolia,5
RPD2_B9,LI,193,VAPA,Vaccinium pallidum,3
RPD2_B9,LI,195,QUCO,Quercus coccinea,3
RPD2_B9,LI,195,GABA,Gaylussacia baccata,5
RPD2_B9,LI,195,VAPA,Vaccinium pallidum,3
Maspee_G3,MA,330,GABA,Gaylussacia baccata,5
Maspee_G3,MA,330,GAPR,Gaultheria procumbens,5
Maspee_G3,MA,330,VAPA,Vaccinium pallidum,3
Maspee_G3,MA,332,GABA,Gaylussacia baccata,5
Maspee_G3,MA,332,GAPR,Gaultheria procumbens,5
Maspee_G3,MA,332,VAPA,Vaccinium pallidum,3
Maspee_G3,MA,334,VAPA,Vaccinium pallidum,5
Maspee_G3,MA,334,GABA,Gaylussacia baccata,4
Maspee_G3,MA,334,GAPR,Gaultheria procumbens,4
Maspee_G3,MA,334,QUIL,Quercus ilicifolia,2
Maspee_G3,MA,336,QUIL,Quercus ilicifolia,5
Maspee_G3,MA,336,QUCO,Quercus coccinea,1
Maspee_G3,MA,336,GABA,Gaylussacia baccata,4
Maspee_G3,MA,336,VAPA,Vaccinium pallidum,5
Maspee_G3,MA,336,GAPR,Gaultheria procumbens,2
Maspee_G3,MA,338,QUIL,Quercus ilicifolia,6
Maspee_G3,MA,338,GABA,Gaylussacia baccata,3
Maspee_G3,MA,338,VAPA,Vaccinium pallidum,4
