Site,Region,Plot_No,Species_Code,Latin_Name,SP_Total_Cover
TNCO_B1,NH,257,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,257,CAPE,Carex pensylvanica,6
TNCO_B1,NH,257,PTAQ,Pteridium aquilinum,4
TNCO_B1,NH,257,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,257,ACRU,Acer rubrum,2
TNCO_B1,NH,257,PIRI,Pinus rigida,2
TNCO_B1,NH,257,QUIL,Quercus ilicifolia,1
TNCO_B1,NH,257,COPE,Comptonia peregrina,4
TNCO_B1,NH,257,VAAN,Vaccinium angustifolium,4
TNCO_B1,NH,259,KAAN,Kalmia angustifolium,4
TNCO_B1,NH,259,QUIL,Quercus ilicifolia,4
TNCO_B1,NH,259,PIRI,Pinus rigida,1
TNCO_B1,NH,259,PTAQ,Pteridium aquilinum,4
TNCO_B1,NH,259,CAPE,Carex pensylvanica,6
TNCO_B1,NH,259,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,259,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,259,ARME,Aronia melanocarpa,1
TNCO_B1,NH,261,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,261,GAPR,Gaultheria procumbens,3
TNCO_B1,NH,261,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,261,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,261,QUIL,Quercus ilicifolia,4
TNCO_B1,NH,261,CAPE,Carex pensylvanica,1
TNCO_B1,NH,261,ARME,Aronia melanocarpa,2
TNCO_B1,NH,261,VAMY,Vaccinium myrtilloides,2
TNCO_B1,NH,263,VAAN,Vaccinium angustifolium,4
TNCO_B1,NH,263,PTAQ,Pteridium aquilinum,4
TNCO_B1,NH,263,KAAN,Kalmia angustifolium,3
TNCO_B1,NH,263,QUIL,Quercus ilicifolia,2
TNCO_B1,NH,263,GAPR,Gaultheria procumbens,3
TNCO_B1,NH,265,QUIL,Quercus ilicifolia,5
TNCO_B1,NH,265,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,265,CAPE,Carex pensylvanica,3
TNCO_B1,NH,265,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,265,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,267,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,267,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,267,PIRI,Pinus rigida,2
TNCO_B1,NH,267,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,267,CAPE,Carex pensylvanica,1
TNCO_B1,NH,267,QUIL,Quercus ilicifolia,2
TNCO_B1,NH,267,GAPR,Gaultheria procumbens,1
TNCO_B1,NH,268,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,268,CAPE,Carex pensylvanica,3
TNCO_B1,NH,268,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,268,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,268,QUIL,Quercus ilicifolia,4
TNCO_B1,NH,270,CAPE,Carex pensylvanica,6
TNCO_B1,NH,270,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,270,COPE,Comptonia peregrina,3
TNCO_B1,NH,270,QUIL,Quercus ilicifolia,4
TNCO_B1,NH,270,PIRI,Pinus rigida,2
TNCO_B1,NH,270,GAPR,Gaultheria procumbens,1
TNCO_B1,NH,270,KAAN,Kalmia angustifolium,1
TNCO_B1,NH,272,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,272,CAPE,Carex pensylvanica,2
TNCO_B1,NH,272,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,272,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,272,QUIL,Quercus ilicifolia,2
TNCO_B1,NH,272,ACRU,Acer rubrum,3
TNCO_B1,NH,272,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,274,QUIL,Quercus ilicifolia,7
TNCO_B1,NH,274,PTAQ,Pteridium aquilinum,4
TNCO_B1,NH,274,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,274,VAAN,Vaccinium angustifolium,3
TNCO_B1,NH,274,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,274,CAPE,Carex pensylvanica,2
TNCO_B1,NH,274,ARME,Aronia melanocarpa,1
TNCO_B1,NH,276,QUIL,Quercus ilicifolia,2
TNCO_B1,NH,276,KAAN,Kalmia angustifolium,2
TNCO_B1,NH,276,CAPE,Carex pensylvanica,2
TNCO_B1,NH,276,PTAQ,Pteridium aquilinum,2
TNCO_B1,NH,276,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,276,VAAN,Vaccinium angustifolium,2
TNCO_B1,NH,278,CAPE,Carex pensylvanica,4
TNCO_B1,NH,278,PTAQ,Pteridium aquilinum,2
TNCO_B1,NH,278,VAAN,Vaccinium angustifolium,2
TNCO_B1,NH,278,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,278,PIST,Pinus strobus,2
TNCO_B1,NH,278,KAAN,Kalmia angustifolium,1
TNCO_B1,NH,278,PIRI,Pinus rigida,1
TNCO_B1,NH,278,QUIL,Quercus ilicifolia,1
TNCO_B1,NH,280,GAPR,Gaultheria procumbens,2
TNCO_B1,NH,280,CAPE,Carex pensylvanica,3
TNCO_B1,NH,280,QUIL,Quercus ilicifolia,4
TNCO_B1,NH,280,PIRI,Pinus rigida,1
TNCO_B1,NH,280,PTAQ,Pteridium aquilinum,3
TNCO_B1,NH,280,COPE,Comptonia peregrina,3
TNCO_B1,NH,280,VAAN,Vaccinium angustifolium,2
Mashpee_B1,MA,369,QUIL,Quercus ilicifolia,7
Mashpee_B1,MA,369,VAPA,Vaccinium pallidum,6
Mashpee_B1,MA,369,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,369,GABA,Gaylussacia baccata,2
Mashpee_B1,MA,371,QUIL,Quercus ilicifolia,6
Mashpee_B1,MA,371,GABA,Gaylussacia baccata,4
Mashpee_B1,MA,371,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,371,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,373,QUPR,Quercus prinoides,3
Mashpee_B1,MA,373,VAPA,Vaccinium pallidum,5
Mashpee_B1,MA,373,QUIL,Quercus ilicifolia,4
Mashpee_B1,MA,373,GABA,Gaylussacia baccata,2
Mashpee_B1,MA,373,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,375,KAAN,Kalmia angustifolium,2
Mashpee_B1,MA,375,VAPA,Vaccinium pallidum,3
Mashpee_B1,MA,375,QUIL,Quercus ilicifolia,4
Mashpee_B1,MA,375,GAPR,Gaultheria procumbens,2
Mashpee_B1,MA,375,CLAL,Clethra alnifolia,2
Mashpee_B1,MA,375,ILGL,Ilex glabra,2
Mashpee_B1,MA,375,GABA,Gaylussacia baccata,3
Mashpee_B1,MA,377,QUIL,Quercus ilicifolia,4
Mashpee_B1,MA,377,KAAN,Kalmia angustifolium,2
