Site,Region,Plot_No,Species_Code,Latin_Name,SP_Total_Cover
APB_Chubb_W,ALB,727,QUIL,Quercus ilicifolia,7
APB_Chubb_W,ALB,727,CAPE,Carex pensylvanica,1
APB_Chubb_W,ALB,725,PIRI,Pinus rigida,1
APB_Chubb_W,ALB,725,PIST,Pinus strobus,1
APB_Chubb_W,ALB,725,ACRU,Acer rubrum,1
APB_Chubb_W,ALB,725,QUIL,Quercus ilicifolia,5
APB_Chubb_W,ALB,725,LYQU,Lysimachia quadrifolia,1
APB_Chubb_W,ALB,723,PIRI,Pinus rigida,1
APB_Chubb_W,ALB,723,ROPS,Robinia pseudoacacia,1
APB_Chubb_W,ALB,723,BELE,Betula lenta,2
APB_Chubb_W,ALB,723,ACRU,Acer rubrum,1
APB_Chubb_W,ALB,723,CAPE,Carex pensylvanica,2
APB_Chubb_W,ALB,723,LYQU,Lysimachia quadrifolia,2
APB_Chubb_W,ALB,723,RUSP,Rubus species,3
APB_Chubb_W,ALB,723,DEFL,Deschampsia flexuosa,3
APB_Chubb_W,ALB,723,MELI,Melampyrum lineare,2
APB_Chubb_W,ALB,721,LYQU,Lysimachia quadrifolia,2
APB_Chubb_W,ALB,721,POUN11,Poacaea sp. 11,2
APB_Chubb_W,ALB,721,CAPE,Carex pensylvanica,2
APB_Chubb_W,ALB,719,QUIL,Quercus ilicifolia,4
APB_Chubb_W,ALB,719,BELE,Betula lenta,3
APB_Chubb_W,ALB,719,VAPA,Vaccinium pallidum,4
APB_Chubb_W,ALB,719,GABA,Gaylussacia baccata,3
APB_Chubb_W,ALB,717,QUIL,Quercus ilicifolia,8
APB_Chubb_W,ALB,717,CAPE,Carex pensylvanica,1
APB_Chubb_W,ALB,715,PIRI,Pinus rigida,1
APB_Chubb_W,ALB,715,QUCO,Quercus coccinea,4
APB_Chubb_W,ALB,715,LYQU,Lysimachia quadrifolia,2
APB_Chubb_W,ALB,715,POUN11,Poacaea sp. 11,1
APB_Chubb_W,ALB,715,RHHI,Rhus hirta,2
APB_Chubb_W,ALB,715,DECA,Desmodium canadense,1
APB_Chubb_W,ALB,713,QUIL,Quercus ilicifolia,8
APB_Chubb_W,ALB,713,PTAQ,Pteridium aquilinum,3
APB_Chubb_W,ALB,713,POUN11,Poacaea sp. 11,1
APB_Chubb_W,ALB,711,QUIL,Quercus ilicifolia,6
APB_Chubb_W,ALB,711,POUN11,Poacaea sp. 11,1
APB_Chubb_W,ALB,711,CAPE,Carex pensylvanica,1
APB_Chubb_W,ALB,709,LYQU,Lysimachia quadrifolia,2
APB_Chubb_W,ALB,709,POUN11,Poacaea sp. 11,1
APB_Chubb_W,ALB,709,CAPE,Carex pensylvanica,1
APB_Chubb_W,ALB,707,PIRI,Pinus rigida,1
APB_Chubb_W,ALB,707,RUSP,Rubus species,3
APB_Chubb_W,ALB,707,POUN11,Poacaea sp. 11,1
APB_Chubb_W,ALB,707,VIAC,Viburnum acerifolium,2
APB_Dandy,ALB,842,QUPR,Quercus prinoides,5
APB_Dandy,ALB,842,AMSP,Amelanchier spp.,2
APB_Dandy,ALB,842,ACRU,Acer rubrum,2
APB_Dandy,ALB,842,CAPE,Carex pensylvanica,2
APB_Dandy,ALB,842,CEOR,Celastrus orbiculatus,2
APB_Dandy,ALB,842,PAQU,Parthenocissus quinquefolia,2
APB_Dandy,ALB,842,RUSP,Rubus species,2
APB_Dandy,ALB,842,COSP,Cornus species,1
APB_Dandy,ALB,842,VEOF,Veronica officinalis,2
APB_Dandy,ALB,842,CEAM,Ceanothus americanus,2
APB_Dandy,ALB,842,ASSP11,Aster species 11,2
APB_Dandy,ALB,842,SOCA,Solidago caesia,1
APB_Dandy,ALB,842,MASP,Malus species,1
APB_Dandy,ALB,840,QUPR,Quercus prinoides,5
APB_Dandy,ALB,840,ACRU,Acer rubrum,3
APB_Dandy,ALB,840,PRSE,Prunus serotina,2
APB_Dandy,ALB,840,AMSP,Amelanchier spp.,2
APB_Dandy,ALB,840,RUSP,Rubus species,3
APB_Dandy,ALB,840,PAQU,Parthenocissus quinquefolia,2
APB_Dandy,ALB,840,FRSP,Fragaria species,2
APB_Dandy,ALB,840,LOSP,Lonicera sp.,2
APB_Dandy,ALB,840,LYQU,Lysimachia quadrifolia,2
APB_Dandy,ALB,840,CEAM,Ceanothus americanus,1
APB_Dandy,ALB,840,PTAQ,Pteridium aquilinum,1
APB_Dandy,ALB,838,QUIL,Quercus ilicifolia,5
APB_Dandy,ALB,838,PTAQ,Pteridium aquilinum,3
APB_Dandy,ALB,838,CICA,Circaea canadensis,2
APB_Dandy,ALB,838,VAPA,Vaccinium pallidum,3
APB_Dandy,ALB,838,CAPE,Carex pensylvanica,5
APB_Dandy,ALB,836,QUIL,Quercus ilicifolia,3
APB_Dandy,ALB,836,PRSE,Prunus serotina,2
